epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,23.968579111872494,18.94579773980218,3.7862979077004097,3.7862979077004097,3.7862979077004097,0.0,0.0,0.24663447971279556,5.874124224121506,2.1904519055340743,49.93543057828336,49.9067497253418,49.9067497253418,50.00431823730469,0.999999965340411,0.004794974911388104,0.9481754899024963,1.0324777364730835,0.999999965340411,0.004794974911388104,0.0,0.0,0.0,0.0,0.0,0.9999999967781273,0.9999999903343819,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,23.26091565312566,18.254318417729557,3.728280686043404,3.728280686043404,3.728280686043404,0.0,0.0,0.246613113461314,6.0833147474237395,2.194196668831078,49.60039798633473,49.421749114990234,49.61518478393555,49.80937194824219,0.9999999587101361,0.005029876701738045,0.9546145796775818,1.0327247381210327,0.9999999587101361,0.005029876701738045,0.0,0.0,0.0,0.0,0.0,0.999999995167191,0.9999999919453183,1.0000000032218728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,24.69977615975045,19.65665190928691,3.737338078988565,3.737338078988565,3.737338078988565,0.0,0.0,0.2476355614694389,6.219386693593618,2.20109951173937,49.005037771688926,48.56059646606445,49.037147521972656,49.421749114990234,0.9999999542965293,0.005747903529359712,0.937787652015686,1.03255033493042,0.9999999542965293,0.005747903529359712,0.0,0.0,0.0,0.0,0.0,0.9999999967781273,0.9999999919453183,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,22.363774866671175,17.413033665837467,3.75038759772842,3.75038759772842,3.75038759772842,0.0,0.0,0.24558099621051066,5.694791497410955,2.209967342582909,48.04261862265097,47.250762939453125,48.18269729614258,48.75066375732422,0.999999959482179,0.00749780642597594,0.9317686557769775,1.0500675439834595,0.999999959482179,0.00749780642597594,0.0,0.0,0.0,0.0,0.0,0.9999999967781273,0.9999999871125093,1.0000000032218728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,22.655113426414697,17.728361542160446,3.7215152044554016,3.7215152044554016,3.7215152044554016,0.0,0.0,0.24696855327567538,5.71747317185273,2.27380971006445,45.885206480284,43.870845794677734,46.24643325805664,47.52843475341797,0.9999999579571702,0.021767266431841265,0.7363466024398804,1.0750558376312256,0.9999999579571702,0.021767266431841265,0.0,0.0,0.0,0.0,0.0,0.9999999983890636,0.9999999903343819,1.0,296.4220041128305,388.83316873409075,1.1019243844248052,99.91324850229117,296.42200170756206,385.54302558667223,454.37730753513085,502.2340969779805,343.03079659598217,271.2258565740068,359.9881233547045,0.10124995478840407,0.34849504827167066,-0.347928421372452,-0.347928421372452,0.4519210289036986,0.21827865128336083,0.040265000863782006,1.307486803748167,0.7325703240682209,0.7823795003225039,0.8476988649147883,0.23257032406822087,-0.017620499677496126,-0.10230113508521166,0.0,0.0,0.0,0.0,1.0,2.2927770889722385,0.0,0.0
6,1e-05,0.0001,0.05,22.005321940860235,17.232734551300872,3.6899847468814335,3.6899847468814335,3.6899847468814335,0.0,0.0,0.2463768873665784,5.105042721774127,2.3670487274994723,42.87490504496807,38.41459655761719,43.870845794677734,46.066139221191406,0.9999999605178742,0.06642101922422042,0.28775012493133545,1.201812982559204,0.9999999605178742,0.06642101922422042,0.0,0.0,0.0,0.0,0.0,0.9999999967781273,0.9999999935562546,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,21.393150484239733,16.769482496622448,3.707445447509353,3.707445447509353,3.707445447509353,0.0,0.0,0.24460225814097636,4.275360133196856,2.5328507358963424,40.15006988112991,29.626577377319336,42.85457992553711,45.70764923095703,1.0003500156883944,0.16762702293550508,0.25,1.4586619138717651,1.0003500156883944,0.16762702293550508,0.004995076047707626,0.0,0.0,0.0,0.0,1.0003152521880898,1.0005527911959469,1.0001016984114777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,20.198644328761745,15.718381469314163,3.692079872698397,3.692079872698397,3.692079872698397,0.0,0.0,0.2448638701761091,3.6348335098575904,2.576499906746117,39.972257047086146,23.20879364013672,44.128658294677734,47.250762939453125,1.003054787253382,0.2390949554156175,0.25,1.8467726707458496,1.003054787253382,0.2390949554156175,0.027508480140059088,0.0,0.0,0.0,0.0,1.0028100819201082,1.004276468947127,1.0022452425312351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,17.66226155049092,13.31561633702871,3.6623684135643213,3.6623684135643213,3.6623684135643213,0.0,0.0,0.24382587945139086,3.11660157667624,2.609074779458948,39.00081809791359,18.539838790893555,43.870845794677734,47.250762939453125,1.0063111878994297,0.281245349890599,0.25,2.0640432834625244,1.0063111878994297,0.281245349890599,0.0449201225517015,0.0,0.0,0.0,0.0,1.0059106704351064,1.008139291325131,1.0057729224900942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,17.010446032962285,12.718470470325366,3.644334889747001,3.644334889747001,3.644334889747001,0.0,0.0,0.2442948290625134,2.9328340002008386,2.5699611870018213,37.33976415685705,15.581646919250488,42.190181732177734,46.15619659423828,1.0085565358882158,0.3046856617846206,0.25,2.085172176361084,1.0085565358882158,0.3046856617846206,0.05573366889156363,0.0,0.0,0.0,0.0,1.0080648177378886,1.0107075716998126,1.0083243105862592,236.64678267594223,320.5330110841538,0.7751717692123887,84.51233446729053,236.64678327993818,295.01871577541795,346.1243202143017,393.02045715660324,206.31709834507532,202.20528329065604,337.84811335024625,0.7308481723890596,0.5801105573391656,-0.3235392352076395,-0.3235392352076395,0.611423598173722,0.5981956793767281,0.5487206230594445,0.961692090690008,0.7514855537531527,0.8794285359179361,0.9509408328529704,0.25148555375315274,0.07942853591793608,0.0009408328529704191,0.002920749751961274,0.0,0.0,0.0,1.0,1.8897845145765242,0.0,0.0
