epoch,loss,root_magnitude,root_to_64,64_to_32,32_to_16,16_to_8,16_to_8_dense,8_to_4,flat_16,multinomial_tree,deterministic_alloc,exact_regression,tree_root_64_active_parents_per_image,tree_root_64_zero_parent_fraction,tree_root_64_nll_per_active_parent,tree_root_64_parent_0_count,tree_root_64_parent_0_mean_nll,tree_root_64_parent_0_mean_prob_l1,tree_root_64_parent_1_count,tree_root_64_parent_1_mean_nll,tree_root_64_parent_1_mean_prob_l1,tree_root_64_parent_2_4_count,tree_root_64_parent_2_4_mean_nll,tree_root_64_parent_2_4_mean_prob_l1,tree_root_64_parent_5_9_count,tree_root_64_parent_5_9_mean_nll,tree_root_64_parent_5_9_mean_prob_l1,tree_root_64_parent_ge10_count,tree_root_64_parent_ge10_mean_nll,tree_root_64_parent_ge10_mean_prob_l1,tree_64_32_active_parents_per_image,tree_64_32_zero_parent_fraction,tree_64_32_nll_per_active_parent,tree_64_32_parent_0_count,tree_64_32_parent_0_mean_nll,tree_64_32_parent_0_mean_prob_l1,tree_64_32_parent_1_count,tree_64_32_parent_1_mean_nll,tree_64_32_parent_1_mean_prob_l1,tree_64_32_parent_2_4_count,tree_64_32_parent_2_4_mean_nll,tree_64_32_parent_2_4_mean_prob_l1,tree_64_32_parent_5_9_count,tree_64_32_parent_5_9_mean_nll,tree_64_32_parent_5_9_mean_prob_l1,tree_64_32_parent_ge10_count,tree_64_32_parent_ge10_mean_nll,tree_64_32_parent_ge10_mean_prob_l1,tree_32_16_active_parents_per_image,tree_32_16_zero_parent_fraction,tree_32_16_nll_per_active_parent,tree_32_16_parent_0_count,tree_32_16_parent_0_mean_nll,tree_32_16_parent_0_mean_prob_l1,tree_32_16_parent_1_count,tree_32_16_parent_1_mean_nll,tree_32_16_parent_1_mean_prob_l1,tree_32_16_parent_2_4_count,tree_32_16_parent_2_4_mean_nll,tree_32_16_parent_2_4_mean_prob_l1,tree_32_16_parent_5_9_count,tree_32_16_parent_5_9_mean_nll,tree_32_16_parent_5_9_mean_prob_l1,tree_32_16_parent_ge10_count,tree_32_16_parent_ge10_mean_nll,tree_32_16_parent_ge10_mean_prob_l1,tree_16_8_active_parents_per_image,tree_16_8_zero_parent_fraction,tree_16_8_nll_per_active_parent,tree_16_8_parent_0_count,tree_16_8_parent_0_mean_nll,tree_16_8_parent_0_mean_prob_l1,tree_16_8_parent_1_count,tree_16_8_parent_1_mean_nll,tree_16_8_parent_1_mean_prob_l1,tree_16_8_parent_2_4_count,tree_16_8_parent_2_4_mean_nll,tree_16_8_parent_2_4_mean_prob_l1,tree_16_8_parent_5_9_count,tree_16_8_parent_5_9_mean_nll,tree_16_8_parent_5_9_mean_prob_l1,tree_16_8_parent_ge10_count,tree_16_8_parent_ge10_mean_nll,tree_16_8_parent_ge10_mean_prob_l1,grad_root_magnitude,grad_root_to_64,grad_64_to_32,grad_32_to_16,grad_16_to_8_dense,grad_total_pre_clip,grad_total_post_clip,grad_pre_clip_p50,grad_pre_clip_p95,grad_pre_clip_max,grad_backbone,grad_task,clip_fraction,amp_scale_start,amp_scale_end,amp_skipped_steps,lr,lr_backbone,lr_task
1,179.32151794433594,20.767663955688477,34.7026481628418,44.5771369934082,76.71820831298828,0.0,2.5558834075927734,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,35.441003461256095,6.0,0.0,0.9999999701976776,5.0,2.7670923233032227,1.8743066549301148,4.0,7.900672197341919,1.5967698395252228,10.0,12.333759880065918,1.22659273147583,263.0,37.359647917656844,0.6897394376109308,11.961805555555555,0.2523871527777778,3.7266227024560052,1163.0,0.0,1.0,664.0,1.3888325921024185,1.5012216453092644,1103.0,2.6331648078704033,0.8364163811165748,798.0,4.070815112656519,0.49471128315555124,880.0,6.54902177290483,0.3845564061945135,32.583333333333336,0.49088541666666663,2.354523049799276,9048.0,0.0,1.0,4108.0,1.3875870746437973,1.500598524886654,3759.0,2.533589413077884,0.8531361321370378,1066.0,3.963074846965511,0.5059693230920617,451.0,5.867484775720837,0.3627012533253418,63.020833333333336,0.7538248697916666,1.721548093685434,55578.0,0.0,1.0,13153.0,1.3865298672356117,1.5000868543312955,4324.0,2.384759675342655,0.8951936910595748,582.0,3.8172818623047924,0.47665015477495093,91.0,5.22760133428888,0.3467958654676165,30.767154693603516,13.16916275024414,29.615970611572266,38.506046295166016,0.7765883207321167,59.40315394931369,59.40315394931369,51.88750457763672,98.10516357421875,129.17129516601562,52.13200706905789,27.033668677012127,0.0,256.0,256.0,0,4.000000000000001e-06,4.0000000000000003e-07,4.000000000000001e-06
2,179.42262268066406,20.878385543823242,34.4549674987793,44.70977020263672,76.8159408569336,0.0,2.5635461807250977,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,35.18804942462461,6.0,0.0,0.9999999900658926,5.0,2.7723405838012694,1.8749603271484374,11.0,6.279663649472323,1.6600749059156938,14.0,12.620110443660192,1.178592243364879,252.0,38.34686618381076,0.6738505514841231,12.069444444444445,0.2456597222222222,3.7043771688902476,1132.0,0.0,1.0,628.0,1.3876077445449344,1.5006103637112174,1170.0,2.623631273579394,0.8188788454756778,821.0,4.064167928753759,0.5021928039160484,857.0,6.532866679384105,0.382335958291658,33.02430555555556,0.4839952256944444,2.3260426108687473,8921.0,0.0,1.0,4268.0,1.3876801824167497,1.5006461031769858,3687.0,2.5061497099845105,0.8590107941840895,1095.0,3.929167443541087,0.48904946383820275,461.0,5.765204708902024,0.365396411099558,63.55555555555556,0.7517361111111112,1.7182465966764864,55424.0,0.0,1.0,13329.0,1.3866400531588783,1.500142296307335,4342.0,2.3986840338160067,0.900700110106466,555.0,3.8705040871560037,0.48442533660579373,78.0,5.192874957353641,0.3577125141253838,nan,nan,nan,nan,nan,60.96671846177843,60.96671846177843,47.778350830078125,112.83479309082031,131.2080535888672,53.07256009843614,26.75872490141127,0.0,256.0,256.0,0,8.000000000000001e-06,8.000000000000001e-07,8.000000000000001e-06
3,180.62091064453125,21.401819229125977,34.28081130981445,44.76377868652344,77.6680679321289,0.0,2.506434679031372,0.0,0.0,0.0,0.0,0.0,0.9618055555555556,0.03819444444444442,35.64214107361941,11.0,0.0,0.9999999837441877,1.0,2.7891178131103516,1.8770489692687988,6.0,8.018161296844482,1.6041850050290425,21.0,11.31391970316569,1.3645431030364263,249.0,38.491496503592494,0.6523984828627253,12.059027777777779,0.24631076388888884,3.7120551129359525,1135.0,0.0,1.0,640.0,1.3875186324119568,1.500566127896309,1138.0,2.6500234620642367,0.8321047784574003,826.0,4.061724545014684,0.48390462265753575,869.0,6.482444771963104,0.36398150923611516,33.06597222222222,0.4833441840277778,2.3488820676954805,8909.0,0.0,1.0,4117.0,1.3873814417663233,1.5004975877400015,3786.0,2.5128257981193047,0.8552059046628925,1185.0,3.9185358747651304,0.4704267992752011,435.0,5.746048394564925,0.3697957902804188,64.8125,0.746826171875,1.708215029896436,55062.0,0.0,1.0,13466.0,1.386729396931682,1.500187252740989,4690.0,2.3796809540120267,0.8976183340239372,417.0,3.7651330504200153,0.4768456297812702,93.0,5.1729002716720744,0.3189855211524553,nan,nan,nan,nan,nan,62.16976441277398,62.16976441277398,51.84770965576172,105.42901611328125,112.1568374633789,53.19423453013102,30.154613123999702,0.0,256.0,256.0,0,1.2e-05,1.2000000000000002e-06,1.2e-05
4,178.74964904785156,21.613292694091797,34.06675720214844,43.71776580810547,76.82190704345703,0.0,2.5299265384674072,0.0,0.0,0.0,0.0,0.0,0.9652777777777778,0.03472222222222221,35.29217979376265,10.0,0.0,0.9999999701976776,5.0,2.764139413833618,1.8739370584487915,4.0,7.476248025894165,1.5958202183246613,17.0,11.950466885286218,1.2581893766627592,252.0,37.953740558927024,0.6755550683490814,11.92013888888889,0.2549913194444444,3.6675551759234817,1175.0,0.0,1.0,677.0,1.3876439070595947,1.5006320930830308,1111.0,2.629345891284685,0.8198341005670391,770.0,4.074752787800579,0.5018945594886681,875.0,6.391450081961495,0.3475740623474121,32.513888888888886,0.49197048611111116,2.362741234871833,9068.0,0.0,1.0,4034.0,1.387435784479386,1.5005263223113787,3716.0,2.514618330545908,0.8409085289141077,1109.0,3.946614395292951,0.4984777999203736,505.0,5.5577746060815185,0.3631137812491691,64.14583333333333,0.7494303385416667,1.7155035071988842,55254.0,0.0,1.0,13321.0,1.386441225834092,1.5000442654939217,4555.0,2.405766159040868,0.8864828049024295,566.0,3.7270103747768872,0.45289347365551197,32.0,4.864874422550201,0.3356685973703861,nan,nan,nan,nan,nan,70.88688659667969,70.88688659667969,63.78239059448242,118.55875396728516,119.27080535888672,63.00549210442437,29.41990915934245,0.0,256.0,256.0,0,1.6000000000000003e-05,1.6000000000000001e-06,1.6000000000000003e-05
5,181.8611602783203,22.428239822387695,34.705116271972656,44.63971710205078,77.50941467285156,0.0,2.5787010192871094,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.04166666666666663,36.21403724559839,12.0,0.0,0.9999999950329462,4.0,2.7730624675750732,1.8750393092632294,5.0,6.5887750625610355,1.626981520652771,11.0,12.519320661371404,1.239927053451538,256.0,38.333303451538086,0.685685321688652,11.913194444444445,0.2554253472222222,3.747081964504472,1177.0,0.0,1.0,641.0,1.388197942010698,1.5009070112255174,1177.0,2.6286042763605497,0.8284291548554737,725.0,4.0701708984375,0.5044552349222118,888.0,6.66853853174158,0.368573898130709,32.44097222222222,0.4931098090277778,2.389244304151922,9089.0,0.0,1.0,4114.0,1.3871118103235047,1.5003667821221174,3520.0,2.529491571946578,0.8454474795948376,1150.0,3.9280700351880946,0.48361795176630434,559.0,5.71563662356682,0.34687116299630916,64.10069444444444,0.7496066623263888,1.7541713781756134,55267.0,0.0,1.0,12942.0,1.38650589095369,1.5000764849454538,4750.0,2.397293861790707,0.8828183850740131,683.0,3.837118865106675,0.48415831407725723,86.0,5.01977547933889,0.33212081776108854,nan,nan,nan,nan,nan,76.14975441826715,76.14975441826715,68.51544189453125,138.97494506835938,198.95233154296875,68.8799491458469,29.47616704305013,0.0,256.0,256.0,0,2e-05,2.0000000000000003e-06,2e-05
6,173.55752563476562,19.56532096862793,33.9963264465332,43.2532958984375,74.23934173583984,0.0,2.5032474994659424,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,34.71965578769116,6.0,0.0,1.0000000198682149,2.0,2.7621599435806274,1.8736851215362549,12.0,7.037091374397278,1.6461542248725891,12.0,12.338441054026285,1.272152801354726,256.0,37.31606328487396,0.6886831000447273,11.819444444444445,0.2612847222222222,3.659503026798665,1204.0,0.0,1.0,651.0,1.386426998906055,1.5000319239181308,1139.0,2.608129352304996,0.8384084224282282,775.0,4.016375840710055,0.47503616702172063,839.0,6.520898530253068,0.3806391944476049,32.114583333333336,0.49820963541666663,2.3117018246060383,9183.0,0.0,1.0,4102.0,1.3871925833863437,1.500407214748284,3658.0,2.5072733116254184,0.8418886279590538,1104.0,3.941019752751226,0.4907980578533117,385.0,5.631621630780108,0.36688951548043786,62.201388888888886,0.7570258246527778,1.6880580590773975,55814.0,0.0,1.0,13208.0,1.3863815409280833,1.5000157208965448,4235.0,2.3871847141450524,0.9033949643690161,425.0,3.7471124895881203,0.48452261854620543,46.0,4.919453662374745,0.34441764911879663,nan,nan,nan,nan,nan,60.53596411810981,60.53596411810981,49.6815185546875,112.80680847167969,156.22503662109375,54.889879650539825,23.921417819129097,0.0,256.0,256.0,0,2.4e-05,2.4000000000000003e-06,2.4e-05
7,178.84628295898438,21.17314338684082,34.27235794067383,44.25917434692383,76.59004974365234,0.0,2.551562786102295,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,35.00155693757618,6.0,0.0,1.0,5.0,2.7712542533874513,1.8748119115829467,12.0,6.027857263882955,1.6769814193248749,16.0,12.60130262374878,1.2649731785058975,249.0,38.484448536332835,0.6647007800489065,11.86111111111111,0.2586805555555556,3.731452584545841,1192.0,0.0,1.0,590.0,1.386732072345281,1.5001818608429471,1176.0,2.6583088595850937,0.8224969413004765,806.0,4.0853788314327115,0.505923513739044,844.0,6.527824365697201,0.3761939030687956,32.60069444444444,0.4906141493055556,2.3493377038726337,9043.0,0.0,1.0,4144.0,1.386695184302606,1.5001571611087754,3614.0,2.5297034579743056,0.8609604025388463,1145.0,3.933451616712012,0.47436286393211397,486.0,5.484190308998642,0.3402321005063783,63.66319444444444,0.7513156467013888,1.722473703784386,55393.0,0.0,1.0,13099.0,1.3861453438343934,1.4998969312423658,4664.0,2.409175558728174,0.8820834315252549,527.0,3.6933698364634213,0.46886704678327357,45.0,5.369702402750651,0.34031867384910586,nan,nan,nan,nan,nan,81.55271000332303,81.55271000332303,71.24513244628906,144.2814178466797,184.99049377441406,74.38216824001736,28.989891105228,0.0,256.0,256.0,0,2.8000000000000003e-05,2.8000000000000003e-06,2.8000000000000003e-05
8,176.3228759765625,20.344188690185547,34.291786193847656,44.45376205444336,74.6361083984375,0.0,2.5970137119293213,0.0,0.0,0.0,0.0,0.0,0.9756944444444444,0.02430555555555558,35.14603138988128,7.0,0.0,0.9999999914850507,0.0,0.0,0.0,10.0,7.082759141921997,1.5878862738609314,14.0,10.979374953678676,1.3209143110683985,257.0,37.55445903377311,0.6872694390293225,12.07986111111111,0.24500868055555558,3.6799898687605546,1129.0,0.0,1.0,730.0,1.3858554735575637,1.4997387690086887,1160.0,2.6452871914567617,0.841127688309242,746.0,4.088573916028715,0.5075028473186749,843.0,6.7288267558721175,0.4054026236030696,31.88888888888889,0.5017361111111112,2.3405050550188338,9248.0,0.0,1.0,4117.0,1.3864333769173074,1.5000253843687852,3471.0,2.505753939449186,0.8610225667599057,1151.0,3.937517227451248,0.48989257265649394,445.0,5.7476357363582995,0.3700349108556683,61.77777777777778,0.7586805555555556,1.7207411416142964,55936.0,0.0,1.0,12850.0,1.3862399541357613,1.4999452868509848,4351.0,2.397578161191842,0.8903645449905553,522.0,3.8444603941906457,0.48179550897115947,69.0,5.269146905429121,0.3462533220864724,nan,nan,nan,nan,nan,64.61571311950684,64.61571311950684,60.87897491455078,97.74484252929688,129.482177734375,57.96967241499159,26.50009075800578,0.0,256.0,256.0,0,3.2000000000000005e-05,3.2000000000000003e-06,3.2000000000000005e-05
9,182.0281524658203,23.23000717163086,34.4482307434082,44.145084381103516,77.63522338867188,0.0,2.569633722305298,0.0,0.0,0.0,0.0,0.0,0.9618055555555556,0.03819444444444442,35.81620507636225,11.0,0.0,0.9999999891627919,1.0,2.759324550628662,1.8733307123184204,12.0,7.168055891990662,1.6144226590792339,13.0,12.092767055218037,1.2491413125625024,251.0,38.54624252015376,0.691842367924542,11.677083333333334,0.27018229166666663,3.7804887937783413,1245.0,0.0,1.0,644.0,1.3851944881936777,1.499410789205421,1076.0,2.623924666620985,0.82850578549183,729.0,4.031384555727693,0.48915849562698593,914.0,6.62964562514157,0.3744524939054994,31.98263888888889,0.5002712673611112,2.4274172188081,9221.0,0.0,1.0,3948.0,1.3858147711014674,1.4997173027185442,3428.0,2.516120216253897,0.8491711677720416,1279.0,3.9721211499772657,0.4792803580915676,556.0,5.723273812438086,0.35823467909860957,64.11111111111111,0.7495659722222222,1.7700622796599126,55264.0,0.0,1.0,12681.0,1.3859800614446565,1.4998128803903847,5084.0,2.4164745419349942,0.8926223129104386,612.0,3.8496351257648342,0.48036400165433196,87.0,5.3503947641657685,0.35896390950542756,nan,nan,nan,nan,nan,95.50998730129666,95.50998730129666,73.17835235595703,215.83734130859375,216.35934448242188,87.4367716047499,33.58907604217529,0.0,256.0,256.0,0,3.6e-05,3.6000000000000003e-06,3.6e-05
10,174.8650665283203,19.614582061767578,34.04774856567383,43.34674835205078,75.3320541381836,0.0,2.5238983631134033,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,34.77216983010583,6.0,0.0,1.0,2.0,2.7701021432876587,1.874680519104004,10.0,5.997985315322876,1.7491217494010924,15.0,12.696027565002442,1.3070639371871948,255.0,37.450162880093444,0.6722757676068474,11.895833333333334,0.25651041666666663,3.6438604333702753,1182.0,0.0,1.0,637.0,1.3847371854437764,1.4991741629560102,1142.0,2.6358524395997804,0.8160520643778733,810.0,4.0709386189778645,0.4898347736876688,837.0,6.3251907822621485,0.35890186530857243,32.614583333333336,0.49039713541666663,2.3097658485291572,9039.0,0.0,1.0,4146.0,1.3855692177536518,1.4995915384840057,3749.0,2.5090466914224003,0.8446249077879101,1096.0,3.9348615242616973,0.48363975190768277,402.0,5.552330301768744,0.3685618312797736,63.25347222222222,0.7529161241319444,1.6873470753891024,55511.0,0.0,1.0,13408.0,1.3856906208047435,1.4996664324922038,4360.0,2.3854683097349394,0.9033092131308459,411.0,3.804729552164565,0.49446718362126035,38.0,5.123048029447856,0.38863164813894974,nan,nan,nan,nan,nan,83.18115234375,83.18115234375,69.58415222167969,141.8799591064453,155.2661590576172,77.83999358283148,25.557657930586075,0.0,256.0,256.0,0,4e-05,4.000000000000001e-06,4e-05
