epoch,lr,solver_strength,eta0,train_total,train_cell,train_global,train_region_head,train_region_map,train_deep,grad_norm_mean,grad_norm_max,clip_rate,residual_abs_mean,residual_abs_max,z_lt_minus10_frac,initial_pred_count_mean,initial_pred_count_std,solver_rel_step_mean,solver_delta_n_mean,val_MAE,val_RMSE,val_NAE,val_Bias
0,0.0002,0.0,0.05000000074505806,0.31612875335144275,0.2513998593344833,0.6356790472160686,0.005804951833631618,0.0,0.2513998593344833,0.07082895182468223,0.17304566502571106,0.0,0.0002369283036828027,0.004864839371293783,0.0,170.96639875932172,3.866187805498516,0.0,0.0,,,,
1,0.0004,0.0,0.05000014975667,0.30791782881274365,0.24914672203136212,0.5761314729849497,0.005789800451814451,0.0,0.24914672203136212,0.058865754244228206,0.2118961364030838,0.0,0.0007659633746229564,0.010735700838267803,0.0,187.20206104625356,6.105955594985829,0.0,0.0,,,,
2,0.0006,0.0,0.05000029876828194,0.304071767763658,0.24452652804779285,0.5859280255707827,0.00476219350909532,0.0,0.24452652804779285,0.16932576448854172,0.6658182144165039,0.0,0.006578173682404061,0.4128565490245819,0.0,227.36359243681937,31.884978116489922,0.0,0.0,,,,
3,0.0008,0.0,0.050000447779893875,0.30194571433645306,0.23934153444839246,0.6165894351222299,0.004726176520555534,0.0,0.23934153444839246,0.2764017301978487,0.7013590335845947,0.0,0.005026749970222061,0.8790695071220398,0.0,269.2993154814749,71.95454516197456,0.0,0.0,,,,
4,0.001,0.0,0.050000596791505814,0.29061738017833594,0.2333008163806164,0.5642934811837745,0.004436061294241385,0.0,0.2333008163806164,0.2891811888777848,0.6275335550308228,0.0,0.005297905391533718,0.7803913354873657,0.0,290.55854242498225,81.91991738983668,0.0,0.0,301.0511901855469,397.84411958053823,1.0358882384603734,51.52815551757813
5,0.001,0.05,0.04945861175656319,0.2827339136239254,0.23035309531471945,0.5150732957955563,0.004367447066628797,0.0,0.23035197230902585,0.5292081146529226,1.1792446374893188,0.0,0.007170075212012638,0.9108179211616516,0.0,304.2986260616418,131.10259760535672,0.00019675734454887623,0.0612210096424502,,,,
6,0.000999726628670463,0.1,0.049935609102249146,0.27888686097029486,0.2274004275148565,0.5063720499024247,0.004246142151356308,0.0,0.22740066186948257,0.5574440400708806,1.4112986326217651,0.0,0.008074708438167969,1.5119752883911133,0.0,307.4043038108132,170.9186546451017,0.0006526361084428518,0.2331544069121733,,,,
7,0.0009989068136093873,0.15,0.04999710991978645,0.2649707374247638,0.21793297610499643,0.462844859921571,0.0037663685207283406,0.0,0.21791674557960394,0.4603481766852466,1.0973167419433594,0.0,0.00906291969515609,0.9680795073509216,3.2135934540719696e-05,325.2005666097005,193.5577821545829,0.0011990680235833156,0.4359796072045962,,,,
8,0.0009975414512725057,0.2,0.05002426728606224,0.26189088189240656,0.21283655365308127,0.4835951021223357,0.0034740788643389487,0.0,0.2128207101063295,0.6405954180341779,1.309345006942749,0.0,0.010354543528096243,0.6171124577522278,9.871974135890152e-05,343.0061016660748,229.2267876188933,0.0014549157596334364,0.5347442326672149,,,,
9,0.0009956320346634876,0.25,0.04983559250831604,0.2705969340873487,0.21515776533069034,0.5474437971909841,0.003473945085495485,0.0,0.2151278139966907,0.5111635413133737,1.0949429273605347,0.0,0.010377256030386145,0.6174266934394836,0.000359506318063447,356.83176537716025,211.69645586191422,0.001620410945509899,0.6353872945024208,420.37076975504556,567.062370316247,1.2955627204612967,347.8517328898112
10,0.0009931806517013613,0.3,0.04976557940244675,0.2534375046238755,0.20712242072278803,0.45507329657222284,0.004038769772953608,0.0,0.20709766402389063,0.6453983774690917,1.8113148212432861,0.0,0.013570803810249676,0.6636974811553955,0.0009243127071496212,386.39699485085225,287.9826047230481,0.002024726211940023,0.8025280408787004,,,,
11,0.0009901899829374047,0.35,0.04961179196834564,0.25151960596893774,0.20855891343319055,0.4226258338400812,0.0034905397015708413,0.0,0.20852579853751443,0.5439483961372664,0.9074753522872925,0.0,0.012064101174473763,0.5789949297904968,0.0006623701615767045,359.430458762429,272.17279459006585,0.0018037446328283597,0.6936692103292003,,,,
