epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,23.57340160576073,18.57390662786123,3.747931937913637,3.747931937913637,3.747931937913637,0.0,0.0,0.24594127326398282,5.950388283342929,2.1546242945903056,49.96017023034998,49.9067497253418,50.00431823730469,50.00431823730469,0.9999999527297796,0.003002793252136036,0.9539635181427002,1.0215352773666382,0.9999999527297796,0.003002793252136036,0.0,0.0,0.0301757177992447,0.0301757177992447,0.0,0.9999999871125093,0.9999999855015729,1.0000000128874909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,23.333947774526234,18.338741740664922,3.758536738318366,3.758536738318366,3.758536738318366,0.0,0.0,0.24656149624167262,5.875145364452052,2.155544648299346,49.68644456605654,49.518367767333984,49.71218490600586,49.9067497253418,0.9999999628139477,0.003094278036743791,0.9656540155410767,1.021530032157898,0.9999999628139477,0.003094278036743791,0.0,0.0,0.026430545425092853,0.026430545425092853,0.0,0.9999999983890636,0.9999999903343819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,24.205901377909893,19.169758152317357,3.760327635584651,3.760327635584651,3.760327635584651,0.0,0.0,0.2477222278311446,6.069426246591516,2.157668622764381,49.20459468944652,48.845970153808594,49.22907257080078,49.518367767333984,0.9999999576269935,0.0035023642161367396,0.9685991406440735,1.0270254611968994,0.9999999576269935,0.0035023642161367396,0.0,0.0,0.02317355588279866,0.02317355588279866,0.0,0.9999999903343819,0.9999999887234455,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,23.465596894960147,18.472489975594186,3.795765393489116,3.795765393489116,3.795765393489116,0.0,0.0,0.24557282916597417,5.679741485698803,2.166386249903086,48.25136153762405,47.52843475341797,48.27689743041992,48.845970153808594,0.9999999579715186,0.004779918699690217,0.9626818299293518,1.0376474857330322,0.9999999579715186,0.004779918699690217,0.0,0.0,0.025187960548980814,0.025187960548980814,0.0,0.9999999871125093,0.9999999903343819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,22.218809102032637,17.293989774343128,3.7188442848824166,3.7188442848824166,3.7188442848824166,0.0,0.0,0.2474069945715569,5.720617358748977,2.1868063243659766,46.08202671360325,44.30137252807617,46.336849212646484,47.62135314941406,0.999999957648353,0.013689571700199906,0.8522849678993225,1.0765228271484375,0.999999957648353,0.013689571700199906,0.0,0.0,0.023488465897940302,0.023488465897940302,0.0,0.999999995167191,0.9999999838906366,1.0000000032218728,299.27580927754497,393.06335109462054,1.1131978492835477,97.34489101367993,299.2758117077903,389.1744389710299,458.6662073428711,506.4606410014755,347.2374703543527,272.9481867708901,365.8091065779976,0.07857701268264733,0.32915896495766783,-0.3057943781282014,-0.3057943781282014,0.3956805919268538,0.13948056582168827,0.019011800582760856,1.3156719654377433,0.7335517645571411,0.7828059340720566,0.845345979201176,0.2335517645571411,-0.01719406592794348,-0.10465402079882391,0.0,0.0,0.35714285714285715,0.6428571428571429,1.0,2.2985155336804444,2.310153202041165,2.310990822839213
6,1e-05,0.0001,0.05,21.77095364235543,16.981905421695195,3.723835719598306,3.723835719598306,3.723835719598306,0.0,0.0,0.24561094512810577,5.019049631582724,2.2134994687260807,41.9700295731828,38.26483154296875,42.521080017089844,45.08699035644531,0.9999999590885758,0.04856747490155913,0.5329375863075256,1.2342569828033447,0.9999999590885758,0.04856747490155913,0.0,0.0,0.050296045739103006,0.044362346968940786,0.1179754528008357,0.999999995167191,0.9999999871125093,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,21.097498249363255,16.505777281683844,3.7180506216513143,3.7180506216513143,3.7180506216513143,0.0,0.0,0.24402748612133232,4.063317459982795,2.2312717115556873,35.721017682874525,28.26987648010254,36.870872497558594,41.45503616333008,1.000001083226127,0.13231766264818973,0.25,1.6118340492248535,1.000001083226127,0.13231766264818973,5.197505197505198e-05,0.0,0.5413711244190061,0.3965281701168498,0.2675483559593251,1.0000010277773883,1.0000017204800167,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,18.917754611453496,14.517054428925386,3.686039705534239,3.686039705534239,3.686039705534239,0.0,0.0,0.24381316191441305,3.2685371282938362,2.0690134538186564,29.642316972887194,19.278383255004883,30.806766510009766,37.59808349609375,1.0008660527734738,0.2258230737187717,0.25,2.094226360321045,1.0008660527734738,0.2258230737187717,0.011464602254075938,0.0,2.4417351033236527,1.496498074080493,0.3871169431755793,1.0007658198073104,1.0011992518966262,1.0013030026410077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,16.539100466547787,12.226633909586313,3.683623288128827,3.683623288128827,3.683623288128827,0.0,0.0,0.24095008864596085,2.843028925560616,2.2357582594897294,24.41784832928632,12.667789459228516,25.04572296142578,34.30037307739258,1.005007580572839,0.3025554580949075,0.25,2.5615880489349365,1.005007580572839,0.3025554580949075,0.04323230112703797,0.0,6.244327918903248,3.2024148315996737,0.4871481970213145,1.0046321282515656,1.0061869234652132,1.0069565257510624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,15.155518454474372,10.9017484639142,3.6701911720069678,3.6701911720069678,3.6701911720069678,0.0,0.0,0.23989975532969912,2.618018627166748,2.1342218631022685,19.77629264625343,9.37720012664795,19.658615112304688,29.975807189941406,1.0074004495414717,0.3214024483868236,0.25,2.430276870727539,1.0074004495414717,0.3214024483868236,0.0558622387569756,0.0,8.0153265901514,3.4428378118051066,0.5704681807931078,1.006885051727295,1.0088896751403809,1.0106711226540643,195.00463083288173,281.9150909545033,0.5384501093067501,90.0508167560284,195.0046301394904,224.11191599816533,263.8735973205526,309.48360067138003,100.99861798967633,151.1779758542083,332.21507827095365,0.4428457988161357,0.5924203903717854,-0.3681501508067674,-0.3681501508067674,0.6029277878124293,0.5687335211049206,0.5891050264253355,0.905619433687139,0.7830095079725968,0.9049352742140441,0.9604488054497805,0.28300950797259683,0.10493527421404403,0.010448805449780552,0.000850724615941765,0.0,0.521978021978022,0.47802197802197804,1.0,1.9147625716177972,1.5713624553038523,1.6030586456859506
