epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,23.970362895243877,17.929027750685407,3.7626697243870915,3.7626697243870915,3.7626697243870915,0.0,0.0,0.3322587117955491,5.790787297326165,0.1732658695530247,4.004139800329466,0.07729158469954052,0.00026016969098457813,1.9510449171066284,0.0,0.0,0.0,2.1267701484061576,49.9781418877679,49.9067497253418,50.00431823730469,50.00431823730469,0.9999999403953552,0.005078004207462072,0.9858621954917908,1.061497688293457,0.9999999403953552,0.005078004207462072,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.000000009665618,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.662311966354782,19.524159199482686,3.7789206827009045,3.7789206827009045,3.7789206827009045,0.0,0.0,0.33405415512420034,6.029046728804305,0.17319678132598465,4.156759075216345,0.08084304932806943,0.00025827220855029046,1.945524102932698,0.0,0.0,0.0,2.135085879145442,49.80693765588709,49.71218490600586,49.80937194824219,49.9067497253418,1.0000001192092896,0.004380808677524328,0.9867338538169861,1.0779443979263306,1.0000001192092896,0.004380808677524328,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000016109363,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,25.3424917685019,19.233530083218135,3.794113120517215,3.794113120517215,3.794113120517215,0.0,0.0,0.33260219161574905,5.912634379154927,0.17310308644900452,4.055385183643651,0.0818917896296527,0.00025491048172871406,1.9332414188900509,0.0,0.0,0.0,2.14890270619779,49.543277843578444,49.3253173828125,49.61518478393555,49.71218490600586,1.0,0.003382353112101555,0.9884836077690125,1.0395416021347046,1.0,0.003382353112101555,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000032218728,0.9999999967781273,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,24.899247272594554,18.83031480376785,3.792570616747882,3.792570616747882,3.792570616747882,0.0,0.0,0.33165553534353104,5.826302799018654,0.1729233695848568,3.9562732818964363,0.08050813022497538,0.00025876097749239087,1.92892882952819,0.0,0.0,0.0,2.1790859312624544,48.996206644419075,48.65553665161133,49.037147521972656,49.3253173828125,1.0000001192092896,0.0029057390056550503,0.9705449938774109,1.0306066274642944,1.0000001192092896,0.0029057390056550503,0.0,0.0,0.0,0.0,0.0,1.0000000064437453,1.0000000016109363,0.9999999903343819,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,24.894210377255,18.807709410383893,3.7671598743748023,3.7671598743748023,3.7671598743748023,0.0,0.0,0.3333520116032781,5.945943909722406,0.1727586497326155,4.051025796580959,0.08095456468495163,0.0002605282989443859,1.90983463300241,0.0,0.0,0.0,2.2167899866361878,48.11071694863809,47.52843475341797,48.18269729614258,48.65553665161133,0.9999999403953552,0.0053451475687325,0.9358302354812622,1.0283503532409668,0.9999999403953552,0.0053451475687325,0.0,0.0,0.0,0.0,0.0,1.0000000064437453,1.000000009665618,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,256.2539262981205,394.5787920891402,0.5964301397246279,-180.2220119539198,256.2539269494646,319.31860965233847,375.95967740463516,407.7203043570366,150.95049258640833,129.07305721903955,628.9377555847168,0.032808991417185275,0.2925707409496396,-0.3534453963214023,-0.3534453963214023,0.41566243722394475,0.3314625957786306,0.1915533368055833,1.3579162331917278,0.7467497819616381,0.7928560561092528,0.8326472535737934,0.2467497819616381,-0.00714394389074724,-0.11735274642620652,0.0,0.0,0.46703296703296704,0.532967032967033,0.7023809523809524,2.307968034521564,2.150610919182117,2.1156726531930024
6,1e-05,1e-05,0.05,25.402309159974795,19.32456890312401,3.7546424994597563,3.7546424994597563,3.754832512623555,0.0,0.0,0.3342457381454674,5.960518927187533,0.17266424805731387,4.057071676125398,0.08180779651612849,0.0002348263346042635,1.8852605368639972,0.0,0.0,0.0,2.2549450590803817,46.88319520692568,45.976253509521484,46.974708557128906,47.714454650878906,0.9999998211860657,0.010615544393658638,0.8196079730987549,1.051345705986023,0.9999998211860657,0.010615544393658638,0.0,0.0,4.198370611345446,2.2701930870880953,0.4592680596245481,1.0000000064437453,1.0000000080546818,0.9999999935562546,0.33496110906472076,0.3375820614196159,0.3274568254883225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,25.055864617631244,19.06735899641707,3.7899288293477653,3.7899288293477653,3.790031188243144,0.0,0.0,0.33619340448766144,5.665892059738572,0.17251289172752485,3.7327637285799593,0.0801888952988225,0.0002276231735359525,1.867600837269345,0.0,0.0,0.0,2.2993501650320516,45.29829643868111,43.78524398803711,45.52945327758789,46.60914993286133,1.0,0.02249021641910076,0.7367340922355652,1.104651927947998,1.0,0.02249021641910076,0.0,0.0,3.7107396383543274,1.0541562196370717,0.7159174929059215,1.0,1.000000004832809,0.9999999903343819,0.33760914689785726,0.3474862277507782,0.31490462615683273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,25.62122930062784,19.736461484754408,3.763591785688658,3.763591785688658,3.760302698290026,0.0,0.0,0.3348727121546462,5.506620819504197,0.1720626120631759,3.520186633677096,0.0771997743160338,0.00025994675446339453,1.850930555446728,0.0,0.0,0.0,2.4278556269568368,42.698946463095176,39.711490631103516,43.19069290161133,45.08699035644531,0.9999998211860657,0.0597938671708107,0.3857075273990631,1.2143292427062988,0.9999998211860657,0.0597938671708107,0.0,0.0,3.2788745390402303,0.4934744794626494,0.8494988223589989,1.0000000128874909,1.0000000016109363,0.9999999967781273,0.3449951603605941,0.36028836466170644,0.2947164781995722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,22.47915502496668,16.86831912478885,3.742982567967595,3.742982567967595,3.7292547354827055,0.0,0.0,0.3339216419168421,4.828950823964299,0.17003890872001648,2.9378935775241337,0.07780964451061713,0.0003429426036057742,1.8316018774702743,0.0,0.0,0.0,2.619175956055925,39.58000038765572,34.033447265625,40.57390213012695,43.78524398803711,1.0000081062316895,0.12113676965236664,0.25,1.3800756931304932,1.0000081062316895,0.12113676965236664,0.00023525549841339315,0.0,2.679309052390021,0.29174293134663554,0.8911126243214114,1.000010454976881,1.0000000016109363,0.9999999967781273,0.35346962310172414,0.3725090808159596,0.2740213017205934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,21.403747790568584,15.993125052065462,3.7044022985406824,3.7044022985406824,3.670682565585987,0.0,0.0,0.33265223696425156,4.4088344122912435,0.16595447063446045,2.558210775658891,0.07910189676929165,0.000764055476473594,1.805249591131468,0.0,0.0,0.0,2.951465400489601,36.52939492302972,26.922672271728516,38.41459655761719,43.022308349609375,1.0012010335922241,0.20876489579677582,0.25,1.6483701467514038,1.0012010335922241,0.20876489579677582,0.013204398730714521,0.0,3.1213346687523096,0.632132762187236,0.7974799791526622,1.001471361598453,1.0003098346091606,0.9999999967781273,0.3689158945470243,0.3743304996877103,0.25675360012698817,255.78657225724106,393.6370199671734,0.5981584814240605,-177.9995935041826,255.78657320984198,319.25033776223745,376.29868594951006,408.2280681985328,152.3316982814244,129.29135400934737,626.2662955574367,0.03276432150232121,0.3494512012945459,-0.39484334011434874,-0.39484334011434874,0.47159627102197177,0.31814048795336153,0.1908149218860259,1.3557011606527456,0.7314453104073406,0.7727515262685333,0.8326301105084848,0.23144531040734062,-0.02724847373146677,-0.11736988949151517,0.0,0.0,0.46703296703296704,0.532967032967033,0.7902930402930401,2.3113432362839417,2.1519676050642036,2.1160896312404467
