epoch,lr,lr_backbone,lr_main,solver_strength,rmr_update_rule,solver_step0,eta0,train_total,train_count,train_flat_dm16,train_cell,train_global,train_region_head,train_region_map,train_deep,grad_norm_mean,grad_norm_max,clip_rate,residual_abs_mean,residual_abs_max,z_lt_minus10_frac,initial_pred_count_mean,initial_pred_count_std,solver_rel_step_mean,solver_delta_n_mean,solver_signed_delta_n_mean,solver_r_spatial_mean,val_MAE,val_RMSE,val_NAE,val_Bias
0,2e-05,2.0000000000000003e-06,2e-05,0.0,latent,0.05000000074505806,0.05000000074505806,23.095678040475555,19.44889192870169,3.584790836681019,0.24798094097411993,19.44889192870169,0.0,0.0,0.24798094097411993,nan,inf,0.15151515151515152,0.2058438387784091,1.88671875,0.0,266.40759832208806,0.8169797293666785,0.0,0.0,0.0,0.0,,,,
1,4e-05,4.000000000000001e-06,4e-05,0.0,latent,0.05000000074505806,0.05000000074505806,22.621169986146867,18.98036375912753,3.5791651624621768,0.24656424152128625,18.98036375912753,0.0,0.0,0.24656424152128625,75.63117287375711,301.11944580078125,0.0,0.2069091796875,2.189453125,0.0,268.00535074869794,1.2470079308165962,0.0,0.0,0.0,0.0,,,,
2,6e-05,6e-06,6e-05,0.0,latent,0.05000000074505806,0.05000000074505806,23.529004270380195,19.913110241745457,3.553961269783251,0.24773104398539572,19.913110241745457,0.0,0.0,0.24773104398539572,inf,inf,0.030303030303030304,0.20882161458333334,1.91796875,0.0,272.27787364612925,1.873687928819196,0.0,0.0,0.0,0.0,,,,
3,8e-05,8.000000000000001e-06,8e-05,0.0,latent,0.05000000074505806,0.05000000074505806,22.218803174567945,18.595854513572924,3.5610809831908257,0.24747078798033975,18.595854513572924,0.0,0.0,0.24747078798033975,68.88729403235696,199.31504821777344,0.0,0.20773777817234848,2.2421875,0.0,275.409209280303,2.085227269372366,0.0,0.0,0.0,0.0,,,,
4,0.0001,1e-05,0.0001,0.0,latent,0.05000000074505806,0.05000000074505806,22.991218740289863,19.36343106356534,3.5661523558876733,0.24654093791138043,19.36343106356534,0.0,0.0,0.24654093791138043,114.14380559054288,477.7848815917969,0.0,0.20902506510416666,2.0234375,0.0,280.219853256688,3.627877108640462,0.0,0.0,0.0,0.0,,,,
5,0.0001,1e-05,0.0001,0.05,latent,0.05010106787085533,0.05010106787085533,22.95112826607444,19.346355149240203,3.542884284799749,0.24755567267085565,19.346355149240203,0.0,0.0,0.24755453024849747,123.6709378560384,349.051025390625,0.0,0.21291281960227273,1.9130859375,0.0,279.5085097804214,6.952954469748426,0.00019011392908975142,0.03492318161509254,-0.03398148414580095,0.37246462522131024,,,,
6,9.999975077406626e-05,9.999975077406627e-06,9.999975077406626e-05,0.1,latent,0.050386782735586166,0.050386782735586166,21.603153055364434,18.03068363305294,3.5106934489625874,0.2471041954828031,18.03068363305294,0.0,0.0,0.24711465113090747,116.60230440081972,306.3342590332031,0.0,0.23002855705492425,2.15234375,0.0,282.25843487363875,13.900001208378656,0.0015211751310606346,0.28000544530875754,0.11118001668629321,0.4079865619088664,,,,
7,9.999900309874961e-05,9.999900309874961e-06,9.999900309874961e-05,0.15,latent,0.05065963789820671,0.05065963789820671,21.068582361394707,17.493963501670144,3.513074831529097,0.24617676256280957,17.493963501670144,0.0,0.0,0.24621776604291165,inf,inf,0.12121212121212122,0.3152225378787879,2.810546875,0.0,279.75585012724906,23.964689963250162,0.004735513731385722,1.0925670302275456,0.41004844190496387,0.24535675798401688,,,,
8,9.999775698150361e-05,9.999775698150361e-06,9.999775698150361e-05,0.2,latent,0.05091281607747078,0.05091281607747078,19.14524081259063,15.571524995746035,3.5126039909593985,0.24444798493024075,15.571524995746035,0.0,0.0,0.24454740005912204,242.27020379268762,750.0291748046875,0.12121212121212122,0.4367305871212121,4.03125,0.0,276.04547766483194,35.59938724946259,0.009896636658319921,2.3366272774609653,0.662129695668365,0.19651881131258878,,,,
9,9.999601243475088e-05,9.999601243475088e-06,9.999601243475088e-05,0.25,latent,0.05116286873817444,0.05116286873817444,18.156260866107363,14.587044817028623,3.5079793496565386,0.2449468198147687,14.587044817028623,0.0,0.0,0.2451024078058474,269.25128173828125,1197.53515625,0.09090909090909091,0.621826171875,4.05859375,0.0,261.1876336300012,48.65140852093467,0.017317001256301548,3.878666689901641,-0.10960253621592667,0.1755196607925675,248.59879048665366,338.6698786377557,0.8197329128157673,-5.147968546549479
10,9.999376947588288e-05,9.999376947588288e-06,9.999376947588288e-05,0.3,latent,0.05143674090504646,0.05143674090504646,17.52376833829013,13.975212848547732,3.487654144113714,0.2436062621347832,13.975212848547732,0.0,0.0,0.24397493357008154,279.68713610100025,756.2857666015625,0.09090909090909091,0.7913707386363636,5.0,0.0,268.11675378048056,65.85460714754946,0.03008166915087989,6.874261509288441,1.9784446539300862,0.1874069460865223,,,,
11,9.999102812725972e-05,9.999102812725971e-06,9.999102812725972e-05,0.35,latent,0.05165666341781616,0.05165666341781616,16.253306273258094,12.727296005595814,3.4654762239167183,0.24213759149565842,12.727296005595814,0.0,0.0,0.24261662364006042,322.7404052271987,1406.188232421875,0.18181818181818182,0.9899976325757576,5.0,0.0,255.0972706187855,77.78773987909427,0.043163605598789276,9.318318265857119,1.8033601768089063,0.18445801351106528,,,,
12,9.998778841621002e-05,9.998778841621001e-06,9.998778841621002e-05,0.4,latent,0.05180766060948372,0.05180766060948372,15.19458345933394,11.659768465793494,3.475051670363455,0.23905358937653629,11.659768465793494,0.0,0.0,0.23985079337250104,inf,inf,0.30303030303030304,1.1093602035984849,5.0,0.0,263.3022645892519,94.34973241947291,0.06140479671232628,14.035609938881613,5.4218139323321255,0.16697049050620108,,,,
13,9.998405037503059e-05,9.998405037503059e-06,9.998405037503059e-05,0.45,latent,0.05196787789463997,0.05196787789463997,15.382915236733176,11.888721494963676,3.4347952423673687,0.23759412900968033,11.888721494963676,0.0,0.0,0.23864339337204443,412.44904373631334,1397.4931640625,0.18181818181818182,1.1855320785984849,5.0,0.0,266.7917027328954,100.92546177694686,0.07613530822775581,17.426364465193316,8.047863801320394,0.18626887847979864,,,,
