epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_cell,train_region_nb,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,23.970269976435482,18.947747746029414,3.787185275876844,0.24657133422993324,5.868470907211304,2.190451364259462,49.93541923729149,49.9067497253418,49.9067497253418,50.00431823730469,0.9999999687197902,0.004792781435411919,0.9481728672981262,1.0324623584747314,0.9999999687197902,0.004792781435411919,0.0,0.0,0.014928856285641322,0.014928856285641322,0.0,0.9999999983890636,0.9999999935562546,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,23.260886037671888,18.254286920702135,3.7282760207717485,0.24661314165270007,6.08334891216175,2.1941993365416654,49.600311279296875,49.421749114990234,49.61518478393555,49.80937194824219,0.999999955525765,0.005029930370190384,0.9546118378639221,1.0327154397964478,0.999999955525765,0.005029930370190384,0.0,0.0,0.013432345353066921,0.013432345353066921,0.0,0.9999999967781273,0.9999999790578276,1.0000000064437453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,24.699560577804977,19.656453261504303,3.7373317770055823,0.2476354994483896,6.219332926982158,2.2011124572238407,49.00493601206187,48.56059646606445,49.037147521972656,49.421749114990234,0.9999999610572443,0.005748442644426294,0.9377985596656799,1.0325472354888916,0.9999999610572443,0.005748442644426294,0.0,0.0,0.013147142111650995,0.013147142111650995,0.0,0.999999995167191,0.9999999935562546,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,22.362949268237966,17.412365629866315,3.750312663413383,0.2455805765615927,5.694379020381618,2.2101083446193384,48.041321934880436,47.250762939453125,48.18269729614258,48.75066375732422,0.9999999574202457,0.007493247099895954,0.9279579520225525,1.050126552581787,0.9999999574202457,0.007493247099895954,0.0,0.0,0.013776241449286809,0.013776241449286809,0.0,0.9999999967781273,0.9999999838906366,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,22.6564183879543,17.729552423631823,3.721575047518756,0.24697002083868594,5.717742481747189,2.274023913048409,45.882249058903874,43.870845794677734,46.24643325805664,47.52843475341797,0.9999999577479768,0.02174559673032623,0.7379980087280273,1.0803146362304688,0.9999999577479768,0.02174559673032623,0.0,0.0,0.03441130002406803,0.03441130002406803,0.0,0.9999999983890636,0.9999999838906366,1.0,308.8907383090847,401.46028948891535,1.165211509380063,116.81666661356832,308.8907360570648,397.35378772303255,465.6031134091412,513.9755704098462,360.5504629952567,287.6641542301622,360.5562007738196,0.1030548319391915,0.34475053417340207,-0.34349237775716435,-0.34349237775716435,0.4470922507240445,0.21171714667572025,0.03508544655834723,1.3063690165194368,0.7325103233396405,0.7819102089096797,0.8475702919249734,0.2325103233396405,-0.018089791090320384,-0.1024297080750266,0.0,0.0,0.3131868131868132,0.6868131868131868,1.0,2.2916586710201514,2.336460760661534,2.336945829810677
6,1e-05,0.0001,0.05,22.03665795197358,17.2624312220393,3.6906159439602413,0.2463137289962253,5.110161684654854,2.366064297186362,42.87508804733689,38.48969650268555,43.870845794677734,46.066139221191406,0.9999999600398924,0.06592296878602563,0.29221126437187195,1.1991561651229858,0.9999999600398924,0.06592296878602563,0.0,0.0,0.20188968729328466,0.1690012238718368,0.16290313716554955,0.9999999935562546,0.9999999919453183,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,21.235856107763343,16.60679052971505,3.7103829834912276,0.2440276717817461,4.288377800503293,2.5231965619164543,40.174649728311074,29.975807189941406,42.77096176147461,45.70764923095703,1.0003130201887434,0.16466717565135167,0.25,1.4441826343536377,1.0003130201887434,0.16466717565135167,0.004620308567676989,0.0,1.5864221107315373,1.1431854729716842,0.279393885625728,1.000284352818051,1.0004858116845827,1.0000830212154903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,19.27380149428909,14.791260564649427,3.6965214110709526,0.24301966863709526,3.626323480863829,2.5641313887931205,40.07200787518475,23.80562400817871,44.128658294677734,47.250762939453125,1.0030499291778368,0.23709676199382732,0.25,1.875846266746521,1.0030499291778368,0.23709676199382732,0.027103621840463946,0.0,5.585415621061583,3.5481614905434684,0.3647453061211776,1.0028121374748848,1.00422850170651,1.0023026595244537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,16.15772159679516,11.811317031447953,3.6687668658591606,0.24005217729388056,3.088123231320768,2.597240789516552,39.08166081196553,19.053781509399414,43.78524398803711,47.343135833740234,1.006293486936819,0.28266864729734975,0.25,2.0745975971221924,1.006293486936819,0.28266864729734975,0.04476146186672503,0.0,13.248912579304463,7.2924807587185425,0.44957892090632384,1.005922430270427,1.0080057640333433,1.005709422601236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,15.070336444957837,10.784430735820049,3.6479050597629032,0.23856029840739998,2.891802420487275,2.6111948683455184,37.05110745816617,15.765318870544434,41.69865036010742,45.976253509521484,1.0088274202157403,0.313413851623518,0.25,2.3199267387390137,1.0088274202157403,0.313413851623518,0.05739139949666265,0.0,20.917582524789346,9.81316124426352,0.530865422300403,1.0083919892439972,1.010763886812571,1.0084765118521613,347.13080731067026,498.3016251117559,0.9355659579813591,284.08047921316967,347.13080375494616,368.78755196256174,399.1126164657505,444.67960408347216,150.02379281180245,265.70070322909095,605.4836883544922,0.7002128247156028,0.592455397702549,-0.3582215038297362,-0.3582215038297362,0.6229799644301649,0.5975188815960378,0.5516188766844873,0.9262504230659073,0.7564656142253156,0.8848457445554696,0.9525115662118754,0.25646561422531555,0.08484574455546956,0.0025115662118754267,0.0018728798849700318,0.0,0.4065934065934066,0.5934065934065934,1.0,1.9301364235170595,2.0242796586110043,2.145399283740547
