epoch,loss,root_magnitude,root_to_64,64_to_32,32_to_16,16_to_8,16_to_8_dense,8_to_4,flat_16,multinomial_tree,deterministic_alloc,exact_regression,tree_root_64_active_parents_per_image,tree_root_64_zero_parent_fraction,tree_root_64_nll_per_active_parent,tree_root_64_parent_0_count,tree_root_64_parent_0_mean_nll,tree_root_64_parent_0_mean_prob_l1,tree_root_64_parent_1_count,tree_root_64_parent_1_mean_nll,tree_root_64_parent_1_mean_prob_l1,tree_root_64_parent_2_4_count,tree_root_64_parent_2_4_mean_nll,tree_root_64_parent_2_4_mean_prob_l1,tree_root_64_parent_5_9_count,tree_root_64_parent_5_9_mean_nll,tree_root_64_parent_5_9_mean_prob_l1,tree_root_64_parent_ge10_count,tree_root_64_parent_ge10_mean_nll,tree_root_64_parent_ge10_mean_prob_l1,tree_64_32_active_parents_per_image,tree_64_32_zero_parent_fraction,tree_64_32_nll_per_active_parent,tree_64_32_parent_0_count,tree_64_32_parent_0_mean_nll,tree_64_32_parent_0_mean_prob_l1,tree_64_32_parent_1_count,tree_64_32_parent_1_mean_nll,tree_64_32_parent_1_mean_prob_l1,tree_64_32_parent_2_4_count,tree_64_32_parent_2_4_mean_nll,tree_64_32_parent_2_4_mean_prob_l1,tree_64_32_parent_5_9_count,tree_64_32_parent_5_9_mean_nll,tree_64_32_parent_5_9_mean_prob_l1,tree_64_32_parent_ge10_count,tree_64_32_parent_ge10_mean_nll,tree_64_32_parent_ge10_mean_prob_l1,tree_32_16_active_parents_per_image,tree_32_16_zero_parent_fraction,tree_32_16_nll_per_active_parent,tree_32_16_parent_0_count,tree_32_16_parent_0_mean_nll,tree_32_16_parent_0_mean_prob_l1,tree_32_16_parent_1_count,tree_32_16_parent_1_mean_nll,tree_32_16_parent_1_mean_prob_l1,tree_32_16_parent_2_4_count,tree_32_16_parent_2_4_mean_nll,tree_32_16_parent_2_4_mean_prob_l1,tree_32_16_parent_5_9_count,tree_32_16_parent_5_9_mean_nll,tree_32_16_parent_5_9_mean_prob_l1,tree_32_16_parent_ge10_count,tree_32_16_parent_ge10_mean_nll,tree_32_16_parent_ge10_mean_prob_l1,grad_root_magnitude,grad_root_to_64,grad_64_to_32,grad_32_to_16,grad_total_pre_clip,grad_total_post_clip,grad_pre_clip_p50,grad_pre_clip_p95,grad_pre_clip_max,grad_backbone,grad_task,clip_fraction,amp_scale_start,amp_scale_end,amp_skipped_steps,lr,lr_backbone,lr_task
1,176.7656707763672,20.76762580871582,34.70265197753906,44.57722091674805,76.71817779541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,35.4410057338417,6.0,0.0,0.9999999900658926,5.0,2.7671103954315184,1.8743089199066163,4.0,7.900693893432617,1.5967750549316406,10.0,12.333824062347412,1.2265995383262633,263.0,37.35964710540191,0.6897382790598126,11.961805555555555,0.2523871527777778,3.7266296829644414,1163.0,0.0,1.0,664.0,1.3888342007096992,1.5012224611029568,1103.0,2.6331677683244914,0.836417397908049,798.0,4.070816824011934,0.4947119739121363,880.0,6.5490424069491295,0.3845604809847745,32.583333333333336,0.49088541666666663,2.354521827014816,9048.0,0.0,1.0,4108.0,1.3875877729525468,1.500598918613928,3759.0,2.5335860682409095,0.8531344779852572,1066.0,3.963082433417859,0.5059719354082004,451.0,5.867464082468375,0.36269978673389375,30.76099395751953,13.163501739501953,29.619842529296875,38.54301071166992,58.92777676052518,58.92777676052518,52.590030670166016,97.2257080078125,130.65895080566406,51.58186297946506,27.000568124983047,0.0,256.0,256.0,0,4.000000000000001e-06,4.0000000000000003e-07,4.000000000000001e-06
2,176.8589324951172,20.878339767456055,34.4549446105957,44.70974349975586,76.8158950805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,35.18802540014821,6.0,0.0,0.9999999900658926,5.0,2.7723577499389647,1.8749625444412232,11.0,6.279612931338224,1.660069617358121,14.0,12.620149884905134,1.1785977184772491,252.0,38.346839662582155,0.6738502203472077,12.069444444444445,0.2456597222222222,3.7043745789346816,1132.0,0.0,1.0,628.0,1.3876067787219004,1.5006099233202115,1170.0,2.623633555876903,0.8188795627691807,821.0,4.06415662870047,0.5021889090683225,857.0,6.532864720846419,0.3823348393657244,33.02430555555556,0.4839952256944444,2.326041141301848,8921.0,0.0,1.0,4268.0,1.3876807472922585,1.5006463748892558,3687.0,2.5061450582679643,0.859008733192239,1095.0,3.9291719584704534,0.4890501780052708,461.0,5.765196640941429,0.36539676543042354,nan,nan,nan,nan,59.852629555596245,59.852629555596245,47.6117057800293,107.92839050292969,124.98587799072266,51.934752782185875,26.721829414367676,0.0,256.0,256.0,0,8.000000000000001e-06,8.000000000000001e-07,8.000000000000001e-06
3,178.1146240234375,21.401782989501953,34.280826568603516,44.7638053894043,77.6681900024414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9618055555555556,0.03819444444444442,35.642159692647226,11.0,0.0,0.9999999566511675,1.0,2.789090633392334,1.87704598903656,6.0,8.0180983543396,1.6041778326034546,21.0,11.313959439595541,1.3645460321789695,249.0,38.49151611328125,0.652397506208305,12.059027777777779,0.24631076388888884,3.7120573448578766,1135.0,0.0,1.0,640.0,1.3875179916620255,1.5005658656358718,1138.0,2.6500256074124353,0.8321061293563441,826.0,4.06172462814368,0.483904756587585,869.0,6.482451005415483,0.36398116464033226,33.06597222222222,0.4833441840277778,2.348886002966502,8909.0,0.0,1.0,4117.0,1.3873848256075703,1.5004992963389225,3786.0,2.512826604183175,0.8552068054392674,1185.0,3.9185367117451215,0.4704265980780879,435.0,5.746093337837307,0.36980494178574663,nan,nan,nan,nan,62.73302904764811,62.73302904764811,53.91374588012695,108.27083587646484,115.25199890136719,53.84364944034152,30.128135787116157,0.0,256.0,256.0,0,1.2e-05,1.2000000000000002e-06,1.2e-05
4,176.21961975097656,21.61317253112793,34.066734313964844,43.71780776977539,76.82192993164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9652777777777778,0.03472222222222221,35.29216003417969,10.0,0.0,0.9999999940395355,5.0,2.7640416622161865,1.8739247798919678,4.0,7.476251840591431,1.5958204865455627,17.0,11.950413703918457,1.2581839210846846,252.0,37.95372348361545,0.675554703152369,11.92013888888889,0.2549913194444444,3.667558713935743,1175.0,0.0,1.0,677.0,1.3876497502517138,1.5006350062270284,1111.0,2.6293442019678044,0.8198328335793784,770.0,4.074757167271206,0.5018952803178267,875.0,6.391457903180804,0.347576116834368,32.513888888888886,0.49197048611111116,2.3627416846182854,9068.0,0.0,1.0,4034.0,1.3874397107617478,1.5005282438445575,3716.0,2.5146175667852066,0.8409089929192649,1109.0,3.9466085304968845,0.49847679636949244,505.0,5.557770043552512,0.36311525047415555,nan,nan,nan,nan,71.02989790174696,71.02989790174696,64.73599243164062,118.8736343383789,120.10071563720703,63.20105626848009,29.39815351698134,0.0,256.0,256.0,0,1.6000000000000003e-05,1.6000000000000001e-06,1.6000000000000003e-05
5,179.28257751464844,22.428213119506836,34.70515823364258,44.63971710205078,77.50947570800781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.04166666666666663,36.21408058940501,12.0,0.0,1.0000000049670537,4.0,2.7730780243873596,1.8750414848327637,5.0,6.588782691955567,1.6269823074340821,11.0,12.519389932805842,1.239936265078458,256.0,38.333346128463745,0.6856868918985128,11.913194444444445,0.2554253472222222,3.747081768821954,1177.0,0.0,1.0,641.0,1.388195847200343,1.5009059816738373,1177.0,2.628601411286308,0.828428573089833,725.0,4.07017044593548,0.504454389111749,888.0,6.668543377438107,0.36857348626798336,32.44097222222222,0.4931098090277778,2.389246041854112,9089.0,0.0,1.0,4114.0,1.387113416316617,1.500367594391151,3520.0,2.529492629658092,0.8454486998644742,1150.0,3.9280806234608527,0.48362141650655993,559.0,5.715625919894797,0.34687005855103087,nan,nan,nan,nan,76.74636798434787,76.74636798434787,70.79878234863281,145.1970672607422,199.76681518554688,69.51015716128879,29.436196062299942,0.0,256.0,256.0,0,2e-05,2.0000000000000003e-06,2e-05
6,171.0542449951172,19.565261840820312,33.99628448486328,43.25321960449219,74.2394790649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,34.719610335979056,6.0,0.0,0.999999980131785,2.0,2.7621508836746216,1.873684048652649,12.0,7.037062565485637,1.646151751279831,12.0,12.338456789652506,1.2721541225910187,256.0,37.3160138130188,0.6886812429875135,11.819444444444445,0.2612847222222222,3.659496679429302,1204.0,0.0,1.0,651.0,1.38641604117351,1.5000263132074827,1139.0,2.608128937008718,0.8384080657423119,775.0,4.01637703188004,0.4750377433530746,839.0,6.52088043885805,0.38063714416149264,32.114583333333336,0.49820963541666663,2.3117062790044023,9183.0,0.0,1.0,4102.0,1.3871972369078251,1.5004095656879932,3658.0,2.507273178142299,0.8418892119477003,1104.0,3.9410294346187427,0.4908028858295385,385.0,5.6316536494663785,0.36689693339459306,nan,nan,nan,nan,61.323817782931854,61.323817782931854,49.66185760498047,110.82077026367188,155.85763549804688,55.737351947360565,23.88111554251777,0.0,256.0,256.0,0,2.4e-05,2.4000000000000003e-06,2.4e-05
7,176.294677734375,21.17298126220703,34.27235794067383,44.25934982299805,76.5899887084961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,35.00155985947196,6.0,0.0,1.0,5.0,2.771308946609497,1.8748187303543091,12.0,6.027883807818095,1.6769844790299733,16.0,12.601299583911896,1.264972560107708,249.0,38.48444927169616,0.664698629494173,11.86111111111111,0.2586805555555556,3.7314672983781514,1192.0,0.0,1.0,590.0,1.3867462643122268,1.5001888081178827,1176.0,2.6583118633348115,0.8224959584320484,806.0,4.08536858002542,0.5059238888193892,844.0,6.52787950705578,0.3761989753958173,32.60069444444444,0.4906141493055556,2.349336169705323,9043.0,0.0,1.0,4144.0,1.3866972683939693,1.500158166333055,3614.0,2.5296970487762436,0.8609587727954655,1145.0,3.933461145126143,0.47436405581678365,486.0,5.484168127240467,0.34023181106818556,nan,nan,nan,nan,79.36469184027777,79.36469184027777,73.41677856445312,134.9870147705078,135.72332763671875,72.20025465223524,28.95130745569865,0.0,256.0,256.0,0,2.8000000000000003e-05,2.8000000000000003e-06,2.8000000000000003e-05
8,173.7257843017578,20.344200134277344,34.29157257080078,44.45368957519531,74.6363296508789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756944444444444,0.02430555555555558,35.14581038179771,7.0,0.0,0.9999999914850507,0.0,0.0,0.0,10.0,7.082897472381592,1.5879032254219054,14.0,10.979466233934675,1.3209182449749537,257.0,37.55420776842169,0.6872560541917377,12.07986111111111,0.24500868055555558,3.679983289805799,1129.0,0.0,1.0,730.0,1.3858624340736703,1.499742309361288,1160.0,2.6452699924337453,0.8411195985202131,746.0,4.088552081233375,0.5074978117648782,843.0,6.728836349179595,0.4054051373211373,31.88888888888889,0.5017361111111112,2.3405117207703277,9248.0,0.0,1.0,4117.0,1.386436745933401,1.5000270299608047,3471.0,2.5057555308296644,0.8610240987933221,1151.0,3.937536549506034,0.48989784727916835,445.0,5.747679283913602,0.3700451810708207,nan,nan,nan,nan,92.6923419104682,89.19683816697862,67.90299987792969,159.54043579101562,562.9190673828125,86.67785284254286,26.4565912882487,0.05555555555555555,256.0,256.0,0,3.2000000000000005e-05,3.2000000000000003e-06,3.2000000000000005e-05
9,179.4597930908203,23.230478286743164,34.449363708496094,44.14424514770508,77.63569641113281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9618055555555556,0.03819444444444442,35.817387990572826,11.0,0.0,0.9999999891627919,1.0,2.760349988937378,1.873460292816162,12.0,7.16816767056783,1.6144971152146657,13.0,12.094651515667255,1.2492831303523138,251.0,38.54744109499502,0.6919331113655729,11.677083333333334,0.27018229166666663,3.780417613319581,1245.0,0.0,1.0,644.0,1.3851824132552057,1.4994052863269118,1076.0,2.6238766071078503,0.8284901154528763,729.0,4.031345623837904,0.48915872325295445,914.0,6.629479881971096,0.37443270777195237,31.98263888888889,0.5002712673611112,2.427432638285745,9221.0,0.0,1.0,3948.0,1.3858776884842305,1.4997486744487418,3428.0,2.5161140157016324,0.8491541040124526,1279.0,3.9720581970334146,0.47925282810888226,556.0,5.72326507842798,0.35824651083500264,nan,nan,nan,nan,103.16203053792317,103.16203053792317,80.32559204101562,200.49411010742188,298.62213134765625,95.52872297498915,33.60975588692559,0.0,256.0,256.0,0,3.6e-05,3.6000000000000003e-06,3.6e-05
10,172.3448486328125,19.614545822143555,34.04900360107422,43.34609603881836,75.335205078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.02083333333333337,34.77345319166251,6.0,0.0,0.9999999900658926,2.0,2.771693706512451,1.8748750686645508,10.0,5.998141765594482,1.749145245552063,15.0,12.699119758605956,1.307236127058665,255.0,37.451381548713236,0.672339142070097,11.895833333333334,0.25651041666666663,3.643805259441814,1182.0,0.0,1.0,637.0,1.3848874407997311,1.4992487292087622,1142.0,2.63584849796863,0.8160817669068452,810.0,4.070789139359086,0.48980625058397836,837.0,6.325000302623534,0.3589051405019088,32.614583333333336,0.49039713541666663,2.309862225984443,9039.0,0.0,1.0,4146.0,1.3856380111171724,1.4996256407366475,3749.0,2.5090794068522437,0.8446426493353957,1096.0,3.934978328482078,0.4836779832839966,402.0,5.5532479357363576,0.36871353429348314,nan,nan,nan,nan,73.21821742587619,73.21821742587619,67.65029907226562,121.06065368652344,134.75389099121094,67.23718039194743,25.56188286675347,0.0,256.0,256.0,0,4e-05,4.000000000000001e-06,4e-05
