epoch,lr,solver_strength,rmr_update_rule,solver_step0,eta0,train_total,train_cell,train_global,train_region_head,train_region_map,train_deep,grad_norm_mean,grad_norm_max,clip_rate,residual_abs_mean,residual_abs_max,z_lt_minus10_frac,initial_pred_count_mean,initial_pred_count_std,solver_rel_step_mean,solver_delta_n_mean,solver_signed_delta_n_mean,solver_r_spatial_mean,val_MAE,val_RMSE,val_NAE,val_Bias
0,2e-05,0.0,latent,0.05000000074505806,0.05000000074505806,0.3135170783057357,0.25057316819826764,0.6180689172311262,0.0056850792413267,0.0,0.25057316819826764,0.055288924758012094,0.16765949130058289,0.0,0.211669921875,4.41015625,0.0,166.38652223529238,0.2989575915148907,0.0,0.0,0.0,0.0,,,,
1,4e-05,0.0,latent,0.05000000074505806,0.05000000074505806,0.31348313707293884,0.2504165177092408,0.6189814119627981,0.005842391018769845,0.0,0.2504165177092408,0.052343237143235674,0.1734919250011444,0.0,0.21256140506628787,4.7578125,0.0,167.98563315651634,0.7895913623308493,0.0,0.0,0.0,0.0,,,,
2,6e-05,0.0,latent,0.05000000074505806,0.05000000074505806,0.31559548233494616,0.2520337764060859,0.623585761496515,0.006015666460646598,0.0,0.2520337764060859,0.06638805147711978,0.1486424058675766,0.0,0.2118548768939394,5.0,0.0,170.25937259558475,0.9532188718722376,0.0,0.0,0.0,0.0,,,,
3,8e-05,0.0,latent,0.05000000074505806,0.05000000074505806,0.31122852997346356,0.2499365797548583,0.601695147879196,0.005612181545460991,0.0,0.2499365797548583,0.07642971756726955,0.1783253699541092,0.0,0.20515210700757575,4.68359375,0.0,174.3924551299124,1.4697036755973816,0.0,0.0,0.0,0.0,,,,
4,0.0001,0.0,latent,0.05000000074505806,0.05000000074505806,0.31570206085840863,0.2515283683032701,0.6295938907247601,0.006071518143554303,0.0,0.2515283683032701,0.0726822538188461,0.1770896166563034,0.0,0.18936804569128787,4.390625,0.0,181.9781309185606,2.8675372446294496,0.0,0.0,0.0,0.0,352.4982086181641,448.78687357520516,0.8335961422291119,-167.77086283365887
5,0.0001,0.05,latent,0.05018211528658867,0.05018211528658867,0.3104939885211713,0.24982573362913998,0.5945412056012587,0.006070680404787488,0.0,0.24982607274344473,0.09699887096543204,0.22575393319129944,0.0,0.22324440696022727,3.04296875,0.0,189.40651217373934,2.3145399203227126,0.00019163291753185067,0.03279581547460773,0.03279581547460773,0.1188423466501814,,,,
6,9.997266286704631e-05,0.1,latent,0.05035686120390892,0.05035686120390892,0.3084360216603135,0.24976726282726636,0.5749773825659896,0.005855087321392741,0.0,0.24978209083730524,0.0911918639515837,0.24483366310596466,0.0,0.29637192234848486,3.4140625,0.0,196.99105696244672,2.2557358538434045,0.002657310881962379,0.5161727332707607,0.5161727332707607,0.018112994956247734,,,,
7,9.989068136093873e-05,0.15,latent,0.05055611953139305,0.05055611953139305,0.3063154762441462,0.2483644927992965,0.5684824734926224,0.00551367598712783,0.0,0.24840020636717478,0.09372111796542551,0.23796851933002472,0.0,0.4092388731060606,3.1875,0.0,206.4363768606475,2.8538513870970452,0.006405660558040395,1.319940812659986,1.319940812659986,0.0034805249535676203,,,,
8,9.975414512725057e-05,0.2,latent,0.05064989998936653,0.05064989998936653,0.30493848793434375,0.24855920491796551,0.5537948626460452,0.004998975884959553,0.0,0.2486354893807209,0.10617484344225941,0.31427812576293945,0.0,0.4445504853219697,3.458984375,0.0,210.99778377648556,1.5317396188435766,0.010959356938573446,2.310509847872185,2.310509847872185,0.0009496704195484971,,,,
9,9.956320346634876e-05,0.25,latent,0.05074317008256912,0.05074317008256912,0.3069596760200732,0.24553220741676562,0.6044655668013024,0.004904543945678707,0.0,0.24569821222261948,0.1473095789551735,0.5632755160331726,0.0,0.4125162760416667,5.0,0.0,215.18832859848484,3.7714564381352815,0.016706343147565018,3.5908353689945107,3.5908353689945107,0.002158222550695593,343.0078887939453,435.4447809333287,0.9924340284852617,-76.78251749674479
