epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_cell,train_region_nb,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,23.970184635471654,18.947663384514886,3.7871835038468644,0.24657133825727412,5.868474702577333,2.1904537677764893,49.93544315647434,49.9067497253418,49.9067497253418,50.00431823730469,0.999999964210799,0.004795376220302234,0.9481782913208008,1.0324867963790894,1.0,0.0,0.0,0.0,0.014915245383776523,0.014915245383776523,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,23.260921632921374,18.254327490523053,3.728276400952726,0.24661325200183973,6.083321481137662,2.194203454094964,49.60036499435837,49.421749114990234,49.61518478393555,49.80937194824219,0.9999999565490684,0.00503042860814468,0.954603374004364,1.0327459573745728,1.0,0.0,0.0,0.0,0.0134113069774734,0.0134113069774734,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,24.699305714787663,19.656271187034815,3.7372903888289994,0.24763518612127047,6.219176343969397,2.201151474102123,49.0046714576515,48.56059646606445,49.037147521972656,49.421749114990234,0.999999959599086,0.00574312691888273,0.935052752494812,1.0325381755828857,1.0,0.0,0.0,0.0,0.013091402707269063,0.013091402707269063,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,22.360913457097233,17.410605379053063,3.7501959607407853,0.24557931278202985,5.6935876124614,2.210537401405541,48.03861473702096,47.250762939453125,48.18269729614258,48.75066375732422,0.9999999615075891,0.007533332195079858,0.9226891994476318,1.0474553108215332,1.0,0.0,0.0,0.0,0.013804715126752853,0.013804715126752853,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,22.64690231632542,17.721533027855127,3.7212078957944303,0.24695937536858223,5.712107104224128,2.2757935008487187,45.8706690814044,43.78524398803711,46.24643325805664,47.52843475341797,0.9999999580858169,0.02222788131560375,0.719470739364624,1.0738537311553955,1.0,0.0,0.0,0.0,0.03546375942391318,0.03546375942391318,0.0,1.0,1.0,1.0,312.64693316784536,404.7027865952021,1.1817561897755595,122.28052898029705,312.6469339230763,401.0483726331552,469.1085540566743,517.6068313241766,363.5492139543806,292.6768763342569,360.9039193858271,0.10089189661625739,0.35920130454855637,0.0,-0.3658604108497306,0.4702597802093499,0.24887134149471024,0.07928391912827415,1.3095191247184468,0.7320838895900879,0.7834680849696032,0.8480352975714706,0.23208388959008786,-0.01653191503039686,-0.1019647024285294,0.0,0.0,0.3131868131868132,0.6868131868131868,1.0,2.301140464596696,2.3502125451852987,2.3506922335415097
6,1e-05,0.0001,0.05,22.041228449022448,17.26990573470657,3.690367640675725,0.24629292818340096,5.0969098194225415,2.3717382276380383,42.85553545565219,38.33964157104492,43.95661163330078,46.066139221191406,0.9999999561715255,0.06753827227017303,0.29036223888397217,1.205477237701416,1.0,0.0,0.0,0.0,0.24092418277585828,0.2018290168127498,0.16227165539243654,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,21.220320495399267,16.59286645940832,3.7098749070554167,0.24391882806210904,4.282997176453874,2.5360076234147355,40.17560628942541,29.74253273010254,42.85457992553711,45.70764923095703,1.0003587176431215,0.16666644974090503,0.25,1.4386076927185059,1.0,0.0,0.005077141919247182,0.0,3.804599457495921,2.7054668407182434,0.288895750802923,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,19.295751442780364,14.80728395565136,3.6976723348772205,0.24287846523362236,3.6503763005540177,2.552181237452739,40.12140727687527,24.086238861083984,44.128658294677734,47.250762939453125,1.0028731005271405,0.23444267570909436,0.25,1.774031400680542,1.0,0.0,0.02592734434839698,0.0,17.189149959667308,10.497699660223883,0.3892833744044511,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,16.133231240349847,11.782506143724596,3.6695736743308403,0.2396597612548519,3.1061825816695756,2.5833114095636316,39.219709447912265,19.316072463989258,43.95661163330078,47.43569564819336,1.006146617641542,0.28069874769028585,0.25,1.968394160270691,1.0,0.0,0.04396542291279133,0.0,45.15648517093143,23.729696879515778,0.474500798950772,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,15.05908066517598,10.772234942461994,3.648763824153591,0.23826965609112302,2.892572177423013,2.5753328961295052,37.28875144752296,16.170734405517578,41.943695068359375,46.15619659423828,1.00855681739975,0.3120091200201605,0.25,2.2301864624023438,1.0,0.0,0.0562753036437247,0.0,72.95968612464699,32.737616874076224,0.5512916980187376,1.0,1.0,1.0,345.2879752274398,496.05640895244704,0.9410288814479593,280.76455625596935,345.2879702064887,368.52994417072176,400.34633385932443,446.68610204612355,161.86137771606445,263.79917289674745,601.7236639935037,0.6923435802205218,0.5897251121479561,0.0,-0.36316979525626786,0.6229668781540879,0.5975715800905448,0.554649583898243,0.9347418634363459,0.75445773270104,0.8828764349281384,0.9513608379530323,0.25445773270104,0.08287643492813834,0.0013608379530323234,0.0018021647405718497,0.0,0.4230769230769231,0.5769230769230769,1.0,1.9376744758951796,2.0967347972340638,2.1436080772143145
