epoch,lr,solver_strength,rmr_update_rule,solver_step0,eta0,train_total,train_cell,train_global,train_region_head,train_region_map,train_deep,grad_norm_mean,grad_norm_max,clip_rate,residual_abs_mean,residual_abs_max,z_lt_minus10_frac,initial_pred_count_mean,initial_pred_count_std,solver_rel_step_mean,solver_delta_n_mean,solver_signed_delta_n_mean,solver_r_spatial_mean,val_MAE,val_RMSE,val_NAE,val_Bias
0,2e-05,0.0,projected_sirt,0.0,0.0,0.3122803604964054,0.25062109755747247,0.6046596142378721,0.005966494974652023,0.0,0.25062109755747247,0.0661705390860637,0.16068321466445923,0.0,0.0002586314825969043,0.002404363825917244,0.0,166.5938299930457,0.3855965101576107,0.0,0.0,0.0,0.0,,,,
1,4e-05,0.0,projected_sirt,0.0,0.0,0.31600184603170917,0.2508821573221322,0.6394868077653827,0.005855053314007819,0.0,0.2508821573221322,0.07134402856569398,0.17224638164043427,0.0,0.00028624314864194304,0.00285266968421638,0.0,168.67990759647253,0.6187620883688552,0.0,0.0,0.0,0.0,,,,
2,6e-05,0.0,projected_sirt,0.0,0.0,0.3131352157303781,0.2500613503383868,0.6190485665292451,0.005845031810388195,0.0,0.2500613503383868,0.06685841300835212,0.14722928404808044,0.0,0.0003620100659177159,0.0034497473388910294,0.0,171.72532653808594,1.0797387228981823,0.0,0.0,0.0,0.0,,,,
3,8e-05,0.0,projected_sirt,0.0,0.0,0.3141027905724265,0.25173248531240405,0.6125203298799919,0.005591360643985822,0.0,0.25173248531240405,0.07485295789824291,0.1875617653131485,0.0,0.0003671782491658109,0.004900457803159952,0.0,175.46446412982363,1.374031160509468,0.0,0.0,0.0,0.0,,,,
4,0.0001,0.0,projected_sirt,0.0,0.0,0.30637532833850745,0.24901110430558523,0.5627507955738993,0.005445710027054178,0.0,0.24901110430558523,0.07479781488125975,0.24121330678462982,0.0,0.0003732846217286406,0.004418984521180391,0.0,181.5892597545277,2.2100725734557085,0.0,0.0,0.0,0.0,352.8679606119792,449.39559122879086,0.8307682733269763,-169.67070922851562
5,0.0001,0.05,projected_sirt,0.05,0.05,0.31039061239271454,0.24941333676829483,0.5981036840063153,0.005834526017265903,0.0,0.2494038916898496,0.08911449250511148,0.24199603497982025,0.0,0.00038131178889395386,0.006060028914362192,0.0,188.39156688343394,1.9093715073620896,0.0033882210299259787,0.24461554555278836,0.017849754908997,0.6101638286402731,,,,
6,9.997266286704631e-05,0.1,projected_sirt,0.1,0.1,0.30946553295308893,0.24886891200686945,0.5949419592366074,0.005512124731798063,0.0,0.2488868859681216,0.06288943287323821,0.17764891684055328,0.0,0.0009140278720720248,0.009093980304896832,0.0,193.27118798458216,1.7609309988889492,0.016273676897540237,2.816188097000122,2.816188097000122,0.1322299993850968,,,,
7,9.989068136093873e-05,0.15,projected_sirt,0.15,0.15,0.3081229365233219,0.24874179200692612,0.5826507093328418,0.005580357378207598,0.0,0.24889868859088782,0.05373141790429751,0.17685051262378693,0.0,0.0023266482696106486,0.00458355201408267,0.0,198.47400133537525,1.9469183072641938,0.06256238009893533,12.420192169420647,12.420192169420647,0.002621267329562794,,,,
8,9.975414512725057e-05,0.2,projected_sirt,0.2,0.2,0.30571715849818604,0.24800067688479568,0.5672297929272507,0.004967511931406052,0.0,0.2484575794501738,0.05426938066992796,0.17507830262184143,0.0,0.0038307713641023092,0.022773755714297295,0.0,198.37315877278647,1.3944599880819923,0.14243435430707355,28.245194868607953,28.245194868607953,2.9190471678069145e-06,,,,
9,9.956320346634876e-05,0.25,projected_sirt,0.25,0.25,0.3044201135635376,0.24468678190852655,0.5883861224759709,0.00447358324009022,0.0,0.24578938700936057,0.04356679438867352,0.09912213683128357,0.0,0.005708728648835059,0.06769811362028122,0.0,197.48535017533735,1.6763826347308621,0.2761779147567171,54.55958892359878,54.55958892359878,0.0,339.30514068603514,429.1845452934042,1.1000669533495742,-11.770147196451823
10,9.931806517013612e-05,0.3,projected_sirt,0.3,0.3,0.30208391041466687,0.24352204980272235,0.57640396826195,0.004607309851880101,0.0,0.24513064415165872,0.04973219016171766,0.11799246817827225,0.0,0.0058020214042203,0.14336328208446503,0.0,197.6888534083511,3.34660168324829,0.34998634457588196,69.24409565781102,69.24409565781102,4.046297434604529e-05,,,,
11,9.901899829374047e-05,0.35,projected_sirt,0.35,0.35,0.3043418282812292,0.24138162488287146,0.6210696570801012,0.004266165655501412,0.0,0.24314509557955194,0.06495001246080254,0.1251397281885147,0.0,0.0049713763944578895,0.12539710104465485,0.0,196.20741087017637,9.0683459264349,0.3680609338211291,71.98038228352864,71.98038228352864,0.004211302056457057,,,,
12,9.86663298624003e-05,0.4,projected_sirt,0.4,0.4,0.2968489211617094,0.2386468481836897,0.5736742895660978,0.0041732323200752335,0.0,0.24059031723123608,0.08245087217426661,0.17902854084968567,0.0,0.00464216094097179,0.12512674927711487,0.0,201.96112846605706,20.164215361402945,0.39842576781908673,78.98891021266128,78.98891021266128,0.021072269389123627,,,,
13,9.826044551386744e-05,0.45,projected_sirt,0.45,0.45,0.29344727685957245,0.236489782279188,0.5619026530872692,0.003836130229474017,0.0,0.23832168904217807,0.09882215557224823,0.20730598270893097,0.0,0.004087345293638381,0.18942229449748993,0.0,206.32735604950875,30.634508005708543,0.40159105080546753,78.27507909138997,78.27507909138997,0.061606064438819885,,,,
14,9.780178907671789e-05,0.5,projected_sirt,0.5,0.5,0.29370225378961273,0.23450696061957965,0.5840231270501108,0.003964894627587813,0.0,0.2366701770912517,0.09737742974451094,0.1805717945098877,0.0,0.0040753090217935314,0.22049398720264435,0.0,219.7245058001894,37.79703982355158,0.4397305819121274,89.564321344549,89.564321344549,0.08131515325018854,310.3995101928711,409.42512136761104,1.0206535385343856,-8.146407572428386
15,9.729086208503174e-05,0.55,projected_sirt,0.55,0.55,0.2872200079939582,0.23416722136916537,0.5227340392091058,0.0038969077938941846,0.0,0.23579071281534253,0.1007973961532116,0.2014748901128769,0.0,0.003246456998485056,0.3242800831794739,0.0,220.5233348499645,52.2296303242663,0.3923137513074008,70.87939591841264,70.87939591841264,0.1789841688040531,,,,
16,9.672822322997305e-05,0.6,projected_sirt,0.6,0.6,0.2846614853902297,0.2288131763537725,0.551767854979544,0.0033576143058863554,0.0,0.2309570854360407,0.08843725818124684,0.1731378585100174,0.0,0.0035617952164488306,0.24190635979175568,0.0,228.14433334812975,55.49488035321599,0.489525323564356,96.89487942782316,96.89487942782316,0.14075887993429648,,,,
17,9.611448774886924e-05,0.65,projected_sirt,0.65,0.65,0.28390280947540747,0.23076633928400098,0.5243614288893613,0.003501624137050275,0.0,0.23219256103038788,0.08958352740966913,0.2190130352973938,0.0,0.0029440407613010116,0.22402028739452362,0.0,231.74678918087122,65.75820747397366,0.44256851799560315,77.22698038274592,77.22698038274592,0.24035747078332034,,,,
18,9.545032675245813e-05,0.7,projected_sirt,0.7,0.7,0.27791022260983783,0.22610382600264115,0.5118721470688329,0.0030959124331164994,0.0,0.22738480297001926,0.10195172470853184,0.2716236114501953,0.0,0.0028394838780954933,0.29213038086891174,0.0,252.1687238288648,75.52221331225876,0.43362422332619177,74.62681336836381,74.06760256218188,0.3096346760338003,,,,
19,9.473646649103818e-05,0.75,projected_sirt,0.75,0.75,0.284495138760769,0.225271512613152,0.5851006209850311,0.003567796228735736,0.0,0.22659736916874396,0.07734550281681797,0.1686054766178131,0.0,0.0025847337462685323,0.1951383352279663,0.0,270.29131802645594,74.08133991864932,0.4237887109770919,75.07266223791873,74.19277352997752,0.3876326616966363,272.8203470865885,357.79930792264526,0.9524816875009015,34.011478678385416
20,9.397368756032445e-05,0.8,projected_sirt,0.8,0.8,0.2787641255241452,0.22638432907335687,0.5175510112083319,0.0031234734959787493,0.0,0.22640471521652106,0.10781766711310907,0.2464715838432312,0.0,0.002541336213294981,0.25289174914360046,0.0,291.3801135438861,90.71134303390984,0.3590889834996426,37.42200738733465,23.785434289412066,0.6632128538507404,,,,
21,9.316282404787871e-05,0.85,projected_sirt,0.85,0.85,0.2745393510117675,0.22531658952886408,0.48580751861586713,0.0032100476127004986,0.0,0.22503083402460272,0.0913902698366931,0.20549283921718597,0.0,0.002501953470831116,0.2674841284751892,0.0,308.7783582282789,94.58578616469886,0.3599729736646016,37.48761708808668,12.244598193602128,0.6857879577261029,,,,
22,9.230476262104677e-05,0.9,projected_sirt,0.9,0.9,0.2766780758445913,0.2238857222325874,0.5216616735313878,0.0031309234098333754,0.0,0.22365856215809332,0.07693037520529646,0.21434997022151947,0.0,0.002397153537127782,0.2763684391975403,0.0,317.79976029829544,94.08068872361426,0.38637447447487805,46.408832203258164,25.45432311115843,0.658687151742704,,,,
