epoch,lr,lr_backbone,lr_main,solver_strength,rmr_update_rule,solver_step0,eta0,train_total,train_count,train_flat_dm16,train_cell,train_global,train_region_head,train_region_map,train_deep,grad_norm_mean,grad_norm_max,clip_rate,residual_abs_mean,residual_abs_max,z_lt_minus10_frac,initial_pred_count_mean,initial_pred_count_std,solver_rel_step_mean,solver_delta_n_mean,solver_signed_delta_n_mean,solver_r_spatial_mean,val_MAE,val_RMSE,val_NAE,val_Bias
0,2e-05,2.0000000000000003e-06,2e-05,1.0,latent,0.0,0.0,23.100324804132637,19.467129562840316,3.5697409239682285,0.24926223763913818,19.467129562840316,0.005694477882405574,0.0,0.0,nan,inf,0.15151515151515152,0.0,0.0,0.0,267.09551816998106,0.4211357589874492,0.0,0.0,0.0,0.0,,,,
1,4e-05,4.000000000000001e-06,4e-05,1.0,latent,0.0,0.0,23.534075939294063,19.898482496088203,3.572403893326268,0.2482790955991456,19.898482496088203,0.005599514119129515,0.0,0.0,40.146387201367006,118.91192626953125,0.0,0.0,0.0,0.0,268.23462931315106,0.7496343311141843,0.0,0.0,0.0,0.0,,,,
2,6e-05,6e-06,6e-05,1.0,latent,0.0,0.0,22.443645332798813,18.80258190270626,3.578060099572846,0.24778926056442838,18.80258190270626,0.005280448120284938,0.0,0.0,33.20557730125658,79.62271118164062,0.0,0.0,0.0,0.0,270.37297104344225,0.956731916536018,0.0,0.0,0.0,0.0,,,,
3,8e-05,8.000000000000001e-06,8e-05,1.0,latent,0.0,0.0,22.756369908650715,19.134202292471223,3.5591408628405947,0.247649657906908,19.134202292471223,0.00557187649379061,0.0,0.0,43.893948930682555,111.27323150634766,0.0,0.0,0.0,0.0,273.5561560428504,1.6702308175640264,0.0,0.0,0.0,0.0,,,,
4,0.0001,1e-05,0.0001,1.0,latent,0.0,0.0,22.943303512804437,19.314448096535422,3.565672101396503,0.24838649368647372,19.314448096535422,0.005433250620791858,0.0,0.0,54.266241738290496,135.5935821533203,0.0,0.0,0.0,0.0,276.6936164624763,3.0865199056833656,0.0,0.0,0.0,0.0,,,,
5,0.0001,1e-05,0.0001,1.0,latent,0.0,0.0,22.797404953927703,19.173202861439098,3.5613475207126504,0.2471666643113801,19.173202861439098,0.005313755605708469,0.0,0.0,inf,inf,0.030303030303030304,0.0,0.0,0.0,275.89887676817,7.733587628493945,0.0,0.0,0.0,0.0,,,,
6,9.999975077406626e-05,9.999975077406627e-06,9.999975077406626e-05,1.0,latent,0.0,0.0,21.846921227195047,18.23853163285689,3.5457396218270967,0.24672341482205826,18.23853163285689,0.004844612464887287,0.0,0.0,131.72283785270923,421.07586669921875,0.0,0.0,0.0,0.0,279.28862323183,16.115824836565007,0.0,0.0,0.0,0.0,,,,
7,9.999900309874961e-05,9.999900309874961e-06,9.999900309874961e-05,1.0,latent,0.0,0.0,19.725962263165098,16.168622305898957,3.4951637947198115,0.24566177481954748,16.168622305898957,0.003803224923710028,0.0,0.0,117.05344714540423,234.9671173095703,0.0,0.0,0.0,0.0,273.634345777107,26.496140738104295,0.0,0.0,0.0,0.0,,,,
8,9.999775698150361e-05,9.999775698150361e-06,9.999775698150361e-05,1.0,latent,0.0,0.0,19.81521967685584,16.25988078839851,3.4927605426672734,0.2471017295664007,16.25988078839851,0.004015204101575144,0.0,0.0,162.21382464784566,443.59039306640625,0.0,0.0,0.0,0.0,273.54949673739344,41.51372609194399,0.0,0.0,0.0,0.0,,,,
9,9.999601243475088e-05,9.999601243475088e-06,9.999601243475088e-05,1.0,latent,0.0,0.0,18.238414735505074,14.66603981364857,3.510814211585305,0.24359889870340173,14.66603981364857,0.003305572831198912,0.0,0.0,inf,inf,0.12121212121212122,0.0,0.0,0.0,274.94105391068894,56.73663421774698,0.0,0.0,0.0,0.0,243.0657501220703,337.9679090194731,0.8304876078696767,10.858853149414063
10,9.999376947588288e-05,9.999376947588288e-06,9.999376947588288e-05,1.0,latent,0.0,0.0,17.66961851986972,14.131078257705227,3.47653232198773,0.24519420302275455,14.131078257705227,0.003546162522539045,0.0,0.0,281.07031041925603,1464.9844970703125,0.12121212121212122,0.0,0.0,0.0,259.7882482355291,65.59636661861371,0.0,0.0,0.0,0.0,,,,
11,9.999102812725972e-05,9.999102812725971e-06,9.999102812725972e-05,1.0,latent,0.0,0.0,16.559873725428726,13.060460711970475,3.4380541570258862,0.2427026814583576,13.060460711970475,0.003415769784513748,0.0,0.0,290.5735071355646,741.6596069335938,0.15151515151515152,0.0,0.0,0.0,276.5006579774799,85.29938925092783,0.0,0.0,0.0,0.0,,,,
12,9.998778841621002e-05,9.998778841621001e-06,9.998778841621002e-05,1.0,latent,0.0,0.0,16.561467575304437,13.039836637901537,3.4608865506721265,0.24015353574897302,13.039836637901537,0.0035290214529430323,0.0,0.0,351.3174087062026,2017.7830810546875,0.12121212121212122,0.0,0.0,0.0,278.5309637821082,98.63400762831279,0.0,0.0,0.0,0.0,,,,
13,9.998405037503059e-05,9.998405037503059e-06,9.998405037503059e-05,1.0,latent,0.0,0.0,15.25560965682521,11.759580944523666,3.4348989688988887,0.2418666554219795,11.759580944523666,0.0033146576553752475,0.0,0.0,255.98515828450522,765.0634765625,0.15151515151515152,0.0,0.0,0.0,268.2259109959458,109.4844516987055,0.0,0.0,0.0,0.0,,,,
14,9.997981404098608e-05,9.997981404098609e-06,9.997981404098608e-05,1.0,latent,0.0,0.0,14.490842645818537,10.989169915517172,3.441713636571711,0.2374272012349331,10.989169915517172,0.003010496052659371,0.0,0.0,357.4700375181256,711.56787109375,0.24242424242424243,0.0,0.0,0.0,286.58722201260656,124.84765137597489,0.0,0.0,0.0,0.0,,,,
15,9.99750794563087e-05,9.99750794563087e-06,9.99750794563087e-05,1.0,latent,0.0,0.0,14.357978329514012,10.87554542946093,3.422709089336973,0.23672691393982281,10.87554542946093,0.0027106718167267513,0.0,0.0,428.71672428015506,2246.91796875,0.2727272727272727,0.0,0.0,0.0,269.7877081668738,127.93606849320307,0.0,0.0,0.0,0.0,,,,
16,9.996984666819766e-05,9.996984666819766e-06,9.996984666819766e-05,1.0,latent,0.0,0.0,14.141271475589637,10.659670714176062,3.4220193299380215,0.23581595583395523,10.659670714176062,0.0031371118454968164,0.0,0.0,392.10820897420246,1308.9229736328125,0.2727272727272727,0.0,0.0,0.0,281.5030674789891,137.62717014470982,0.0,0.0,0.0,0.0,,,,
17,9.996411572881886e-05,9.996411572881886e-06,9.996411572881886e-05,1.0,latent,0.0,0.0,13.677925312157834,10.22169049580892,3.3968783436399517,0.23499996011907404,10.22169049580892,0.003033354950744207,0.0,0.0,365.0331430146189,851.4176635742188,0.21212121212121213,0.0,0.0,0.0,279.18927001953125,142.1186423856386,0.0,0.0,0.0,0.0,,,,
18,9.995788669530421e-05,9.995788669530421e-06,9.995788669530421e-05,1.0,latent,0.0,0.0,12.768804145581795,9.309308644497033,3.400275223182909,0.2348888119061788,9.309308644497033,0.002489944191466114,0.0,0.0,375.21336364746094,1192.6787109375,0.24242424242424243,0.0,0.0,0.0,268.8757698752663,139.7913058803744,0.0,0.0,0.0,0.0,,,,
19,9.99511596297512e-05,9.99511596297512e-06,9.99511596297512e-05,1.0,latent,0.0,0.0,12.400074380816836,8.969200062029289,3.3725432627128833,0.23141041985063843,8.969200062029289,0.002392344935232717,0.0,0.0,350.362578420928,734.0463256835938,0.24242424242424243,0.0,0.0,0.0,288.5592711477569,154.2811061798212,0.0,0.0,0.0,0.0,161.7256846110026,250.79764924378662,0.40610892063816945,-38.816098022460935
20,9.994393459922218e-05,9.994393459922219e-06,9.994393459922218e-05,1.0,latent,0.0,0.0,13.238509409355395,9.795410531939883,3.384005272027218,0.23399388338580276,9.795410531939883,0.0029757005130787465,0.0,0.0,inf,inf,0.36363636363636365,0.0,0.0,0.0,262.4334698301373,146.92971144767228,0.0,0.0,0.0,0.0,,,,
21,9.993621167574379e-05,9.993621167574379e-06,9.993621167574379e-05,1.0,latent,0.0,0.0,13.382448918891676,9.965958508578213,3.3578286532199746,0.2324309448401133,9.965958508578213,0.0027700526001298745,0.0,0.0,549.9580480402166,4352.71337890625,0.24242424242424243,0.0,0.0,0.0,279.74550744258994,156.7992084973162,0.0,0.0,0.0,0.0,,,,
22,9.99279909363061e-05,9.99279909363061e-06,9.99279909363061e-05,1.0,latent,0.0,0.0,11.752984422625918,8.350137826168176,3.3443154204975474,0.23216869433720908,8.350137826168176,0.00244458172660829,0.0,0.0,358.4184385357481,1252.65234375,0.21212121212121213,0.0,0.0,0.0,273.91853471235794,155.06596066006458,0.0,0.0,0.0,0.0,,,,
23,9.991927246286197e-05,9.991927246286197e-06,9.991927246286197e-05,1.0,latent,0.0,0.0,12.325734196287213,8.907884063142719,3.359211741071759,0.23233495020505154,8.907884063142719,0.002772295782271998,0.0,0.0,455.66667221531725,1263.825927734375,0.30303030303030304,0.0,0.0,0.0,276.8994496663411,164.4049674026743,0.0,0.0,0.0,0.0,,,,
24,9.991005634232621e-05,9.991005634232623e-06,9.991005634232621e-05,1.0,latent,0.0,0.0,12.160169919331869,8.753445249615293,3.348713174010768,0.23009946987484442,8.753445249615293,0.002433183505975952,0.0,0.0,408.5317398996064,1772.3658447265625,0.24242424242424243,0.0,0.0,0.0,286.607177734375,169.39307227390955,0.0,0.0,0.0,0.0,,,,
