epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,scale_pi_32,scale_pi_64,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,23.939212051597803,17.929059453912682,3.7626680490132927,3.7626680490132927,3.7626680490132927,0.0,0.0,0.33225866588386327,5.790791318223283,0.173265828876882,4.004130250698811,0.014931055113069108,0.00026016869909457256,1.9510526334917224,0.0,0.0,0.0,2.1267977791863517,49.97743462227486,49.9067497253418,50.00431823730469,50.00431823730469,1.0000001192092896,0.005074974615126848,0.9858477115631104,1.0615073442459106,1.0000001192092896,0.005074974615126848,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,25.62926318194415,19.52410891249373,3.7789099603085905,3.7789099603085905,3.7789099603085905,0.0,0.0,0.33405414626405044,6.028967303198737,0.17319450950300372,4.156522435110968,0.01499028891526364,0.0002582683975216807,1.9455554292008683,0.0,0.0,0.0,2.135306725630889,49.803619590965475,49.71218490600586,49.80937194824219,49.9067497253418,1.0,0.004354807548224926,0.9867801666259766,1.0750423669815063,1.0,0.004354807548224926,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999967781273,0.9999999871125093,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,25.307888082555824,19.232619259808516,3.79413374694618,3.79413374694618,3.79413374694618,0.0,0.0,0.332601762301213,5.912250828098607,0.17309677318946734,4.054645209699063,0.014906377984663925,0.00025496250207259044,1.9333329619588078,0.0,0.0,0.0,2.1496469007956014,49.52920655946474,49.3253173828125,49.518367767333984,49.71218490600586,0.9999999403953552,0.003322427859529853,0.987847089767456,1.039797306060791,0.9999999403953552,0.003322427859529853,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.0000000016109363,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,24.865261490280563,18.82923783482732,3.792615239684646,3.792615239684646,3.792615239684646,0.0,0.0,0.33165418537887364,5.8260841305191455,0.1729182331143199,3.956005470172779,0.014754080868049248,0.0002588994181211534,1.929375046008342,0.0,0.0,0.0,2.179312074506605,48.99297095633842,48.65553665161133,49.037147521972656,49.3253173828125,1.0000001192092896,0.00292341155000031,0.9704552888870239,1.0308231115341187,1.0000001192092896,0.00292341155000031,0.0,0.0,0.0,0.0,0.0,1.0000000064437453,1.0000000112765544,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,24.856248778265876,18.802980603398503,3.767125857842935,3.767125857842935,3.767125857842935,0.0,0.0,0.3333499004711976,5.944991614367511,0.1727540392327953,4.050620362565324,0.015051496542386106,0.0002608025223142593,1.910350641688785,0.0,0.0,0.0,2.2164459421827987,48.113860568484746,47.52843475341797,48.18269729614258,48.65553665161133,1.0000001192092896,0.0053749424405395985,0.9354907870292664,1.0296657085418701,1.0000001192092896,0.0053749424405395985,0.0,0.0,0.0,0.0,0.0,1.0000000064437453,1.000000009665618,0.9999999967781273,0.3333333432674408,0.3333333432674408,0.3333333432674408,291.69241353967686,388.1092362917037,1.057565348732535,69.41649849860222,291.69241504237607,384.00705846629245,455.822296580953,503.15963201081894,334.2719606672014,256.31488380136415,384.4238158516262,0.032838610884649594,0.29317291334074064,-0.35466240217196826,-0.35466240217196826,0.41699297838591487,0.33592626470256376,0.1973072446351514,1.3579417001714507,0.7467712107932739,0.7929031995388516,0.8326022530273582,0.2467712107932739,-0.007096800461148467,-0.11739774697264171,0.0,0.0,0.0,0.0,1.0,2.3079069960903333,0.0,0.0
6,1e-05,1e-05,0.05,24.92973095661885,18.88768366220835,3.7543128245585673,3.7543128245585673,3.7543128245585673,0.0,0.0,0.3336762560380472,5.956551016987981,0.17264838436165372,4.053337844642433,0.015132442267762648,0.00026301533295269554,1.8812123891469594,0.0,0.0,0.0,2.255440389787829,46.89042529544315,45.976253509521484,46.974708557128906,47.714454650878906,1.0000001192092896,0.010815738700330257,0.8197948932647705,1.0531342029571533,1.0000001192092896,0.010815738700330257,0.0,0.0,0.0,0.0,0.0,1.0000000064437453,1.000000004832809,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,24.120414811211663,18.16629305401364,3.7892149267969906,3.7892149267969906,3.7892149267969906,0.0,0.0,0.33542484850496856,5.667662916956721,0.1724742050911929,3.733980497798404,0.01456042832216701,0.0002667986098802774,1.8462229709367495,0.0,0.0,0.0,2.2999903189169393,45.464712091394375,44.04254913330078,45.618465423583984,46.60914993286133,0.9999998211860657,0.021618947386741638,0.7508624196052551,1.0999091863632202,0.9999998211860657,0.021618947386741638,0.0,0.0,0.0,0.0,0.0,1.0000000032218728,1.0000000064437453,0.9999999903343819,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,24.216617713103425,18.334584816082103,3.7669671741691797,3.7669671741691797,3.7669671741691797,0.0,0.0,0.3340948868442226,5.574336941177781,0.17205644660704844,3.5912237006264762,0.01468354247107699,0.000297987851710688,1.806582692507151,0.0,0.0,0.0,2.390283623257199,43.45596756806245,40.89212417602539,43.870845794677734,45.52945327758789,0.9999999403953552,0.050167713314294815,0.46194329857826233,1.1714855432510376,0.9999999403953552,0.050167713314294815,0.0,0.0,0.0,0.0,0.0,1.0000000064437453,1.0000000032218728,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,21.48971147794981,15.83716750789333,3.758339127978763,3.758339127978763,3.758339127978763,0.0,0.0,0.33352668059838786,4.979994786752237,0.17063277758456566,3.095155860926654,0.014163857980354412,0.0003388075573319519,1.764644751677642,0.0,0.0,0.0,2.5147316133653796,41.01648784328152,36.65546417236328,41.78017044067383,44.47475814819336,1.0,0.09529444575309753,0.26608747243881226,1.3131705522537231,1.0,0.09529444575309753,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000016109363,0.9999999967781273,0.3333333432674408,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,21.53682786065179,16.025393563347894,3.739701625463125,3.739701625463125,3.739701625463125,0.0,0.0,0.3332659271923271,4.698916570560352,0.16804476323965434,2.7691386068189465,0.014482987264322268,0.00040409746941657285,1.7480455604759422,0.0,0.0,0.0,2.7472718213055587,38.45284601159998,31.230844497680664,39.866920471191406,43.69981002807617,1.0002354383468628,0.1623467057943344,0.25,1.4495524168014526,1.0002354383468628,0.1623467057943344,0.0038789801947696685,0.0,0.0,0.0,0.0,1.0003005072877214,1.0000102149473655,0.9999999967781273,0.3333333432674408,0.3333333432674408,0.3333333432674408,291.8507107116364,388.1895603958262,1.058488003056537,69.80383751418564,291.85071098613605,384.3881810239294,456.311371164102,503.6912182833458,334.5957821437291,256.55599987414456,384.3246715379798,0.03253680732931337,0.3435211120731442,-0.3927870506958985,-0.3927870506958985,0.47183663645108603,0.3228626988220708,0.20224425822849176,1.3558318324125604,0.7307745879771397,0.7709836476585787,0.8326322533916484,0.23077458797713968,-0.029016352341421303,-0.11736774660835159,0.0,0.0,0.0,0.0,1.0,2.31017869416174,0.0,0.0
