epoch,lr,lr_backbone,lr_main,solver_strength,rmr_update_rule,solver_step0,eta0,train_total,train_count,train_flat_dm16,train_cell,train_global,train_region_head,train_region_map,train_deep,grad_norm_mean,grad_norm_max,clip_rate,residual_abs_mean,residual_abs_max,z_lt_minus10_frac,initial_pred_count_mean,initial_pred_count_std,solver_rel_step_mean,solver_delta_n_mean,solver_signed_delta_n_mean,solver_r_spatial_mean,val_MAE,val_RMSE,val_NAE,val_Bias
0,2e-05,2.0000000000000003e-06,2e-05,1.0,latent,0.0,0.0,22.49752426147461,18.871606537790008,3.5638001109614517,0.24847141856496985,18.871606537790008,0.0,0.0,0.0,inf,inf,0.21212121212121213,0.0,0.0,0.0,266.5400436863755,0.8008624129207756,0.0,0.0,0.0,0.0,,,,
1,4e-05,4.000000000000001e-06,4e-05,1.0,latent,0.0,0.0,24.505968209468957,20.857753233476117,3.585981896429351,0.24893202655243152,20.857753233476117,0.0,0.0,0.0,inf,inf,0.030303030303030304,0.0,0.0,0.0,267.37188258315575,0.9678215540028365,0.0,0.0,0.0,0.0,,,,
2,6e-05,6e-06,6e-05,1.0,latent,0.0,0.0,23.621002659653172,19.96482753753662,3.594232754273848,0.24776996356068234,19.96482753753662,0.0,0.0,0.0,68.47208283164285,208.85647583007812,0.0,0.0,0.0,0.0,270.7836960301255,1.6985405565281242,0.0,0.0,0.0,0.0,,,,
3,8e-05,8.000000000000001e-06,8e-05,1.0,latent,0.0,0.0,23.92559724865538,20.311075470664285,3.552866827357899,0.24661941239328095,20.311075470664285,0.0,0.0,0.0,67.31837983564897,263.63043212890625,0.0,0.0,0.0,0.0,274.7417103160511,2.048176599752072,0.0,0.0,0.0,0.0,,,,
4,0.0001,1e-05,0.0001,1.0,latent,0.0,0.0,22.58034084782456,18.96172013427272,3.5570180849595503,0.2464114377895991,18.96172013427272,0.0,0.0,0.0,70.79302417870724,204.50686645507812,0.0,0.0,0.0,0.0,278.75899158824575,3.6132433165994784,0.0,0.0,0.0,0.0,,,,
5,0.0001,1e-05,0.0001,1.0,latent,0.0,0.0,21.798589533025567,18.17904587947961,3.5579546798359263,0.2463552775708112,18.17904587947961,0.0,0.0,0.0,66.88964629895759,309.7135925292969,0.0,0.0,0.0,0.0,280.3212483723958,6.588509622641632,0.0,0.0,0.0,0.0,,,,
6,9.999975077406626e-05,9.999975077406627e-06,9.999975077406626e-05,1.0,latent,0.0,0.0,20.846127047683254,17.236697861642547,3.547666715853142,0.2470494486165769,17.236697861642547,0.0,0.0,0.0,91.92912431196733,261.4453125,0.0,0.0,0.0,0.0,277.8100743149266,12.001661629217004,0.0,0.0,0.0,0.0,,,,
7,9.999900309874961e-05,9.999900309874961e-06,9.999900309874961e-05,1.0,latent,0.0,0.0,21.182988889289625,17.60900980053526,3.5124667341058906,0.24604860038468332,17.60900980053526,0.0,0.0,0.0,159.09629694620767,632.6398315429688,0.030303030303030304,0.0,0.0,0.0,273.5319814970999,20.81662891916175,0.0,0.0,0.0,0.0,,,,
8,9.999775698150361e-05,9.999775698150361e-06,9.999775698150361e-05,1.0,latent,0.0,0.0,20.011417562311347,16.450972643765535,3.499260866280758,0.24473660777915607,16.450972643765535,0.0,0.0,0.0,155.03119347312233,381.0145568847656,0.0,0.0,0.0,0.0,280.00777273467094,34.56727153246512,0.0,0.0,0.0,0.0,,,,
9,9.999601243475088e-05,9.999601243475088e-06,9.999601243475088e-05,1.0,latent,0.0,0.0,19.004868247292258,15.419047066659639,3.5249606190305767,0.24344181969310297,15.419047066659639,0.0,0.0,0.0,214.10136783484256,656.2471313476562,0.030303030303030304,0.0,0.0,0.0,267.5252431233724,49.00337681739679,0.0,0.0,0.0,0.0,258.0462239583333,350.70946715759067,0.8734234999372471,10.581540934244792
