file,source_kind,source_model,transition,representation,cells,child_mae,parent_mae,composition_l1,n2p_cells,n2p_child_mae,n2p_parent_mae,n2p_composition_l1,relative_native_vs_pre_n2p,relative_native_vs_s2d_pca_n2p,s2d_pca_gap_closure,avgpool_pca_gap_closure,blurpool_pca_gap_closure,rho_excess_vs_abs_local_error,rho_excess_vs_underestimate,screen_go,linkage_go,final_go
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C4_to_C8,pre_pack,11977,0.41619330644607544,0.41185885667800903,1.340122938156128,1977,0.5574904084205627,1.0387448072433472,0.8781805634498596,0.009087646208967109,-0.008729316920500661,-0.9778347725828843,-1.180968963975623,-0.9580107767241582,,,False,,
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C4_to_C8,native_post,11977,0.4253603219985962,0.4094680845737457,1.3693782091140747,1977,0.5625566840171814,0.9809576272964478,0.8945300579071045,0.009087646208967109,-0.008729316920500661,-0.9778347725828843,-1.180968963975623,-0.9580107767241582,,,False,,
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C4_to_C8,s2d_pca_budget,11977,0.4291360676288605,0.40256017446517944,1.3830194473266602,1977,0.5675106644630432,1.0503931045532227,0.8994525074958801,0.009087646208967109,-0.008729316920500661,-0.9778347725828843,-1.180968963975623,-0.9580107767241582,,,False,,
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C4_to_C8,avgpool_pca_budget,11977,0.434305876493454,0.41069793701171875,1.3962790966033936,1977,0.5685397982597351,1.042101263999939,0.9015286564826965,0.009087646208967109,-0.008729316920500661,-0.9778347725828843,-1.180968963975623,-0.9580107767241582,,,False,,
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C4_to_C8,blurpool_pca_budget,11977,0.43311476707458496,0.4117676019668579,1.3923894166946411,1977,0.5674102306365967,1.027665615081787,0.900526762008667,0.009087646208967109,-0.008729316920500661,-0.9778347725828843,-1.180968963975623,-0.9580107767241582,,,False,,
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C8_to_C16,pre_pack,11308,0.4713173508644104,0.8465869426727295,1.168496012687683,3421,0.6378832459449768,1.313959002494812,0.7525961399078369,-9.745928411810795e-05,-0.028714425560361672,303.3106423777565,479.40172579098754,444.54554170661555,,,False,,
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C8_to_C16,native_post,11308,0.48408573865890503,0.7511354088783264,1.2806177139282227,3421,0.6378210783004761,1.215609073638916,0.806226372718811,-9.745928411810795e-05,-0.028714425560361672,303.3106423777565,479.40172579098754,444.54554170661555,,,False,,
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C8_to_C16,s2d_pca_budget,11308,0.48974281549453735,0.8513519763946533,1.2167683839797974,3421,0.6566771864891052,1.3252242803573608,0.7827842235565186,-9.745928411810795e-05,-0.028714425560361672,303.3106423777565,479.40172579098754,444.54554170661555,,,False,,
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C8_to_C16,avgpool_pca_budget,11308,0.5071691870689392,0.8459799289703369,1.2716482877731323,3421,0.6676243543624878,1.313350796699524,0.8065436482429504,-9.745928411810795e-05,-0.028714425560361672,303.3106423777565,479.40172579098754,444.54554170661555,,,False,,
runs/e0_v2/pretrained_mobilev4s05.json,current_timm_pretrained,mobilenetv4_conv_small_050,C8_to_C16,blurpool_pca_budget,11308,0.5066216588020325,0.839372992515564,1.2742540836334229,3421,0.6654574275016785,1.3050132989883423,0.8054563999176025,-9.745928411810795e-05,-0.028714425560361672,303.3106423777565,479.40172579098754,444.54554170661555,,,False,,
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C4_to_C8,pre_pack,11977,0.4147490859031677,0.41546472907066345,1.3361338376998901,1977,0.5570735931396484,1.0438557863235474,0.8761991262435913,0.006679332139543324,-0.008616234126887537,-1.3098869060968186,-2.2376253484125206,-1.837247300804152,-0.14518024285008926,-0.14495128007027658,False,False,False
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C4_to_C8,native_post,11977,0.42194870114326477,0.4138137698173523,1.3577275276184082,1977,0.560794472694397,0.9867114424705505,0.8891822695732117,0.006679332139543324,-0.008616234126887537,-1.3098869060968186,-2.2376253484125206,-1.837247300804152,-0.14518024285008926,-0.14495128007027658,False,False,False
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C4_to_C8,s2d_pca_budget,11977,0.42603155970573425,0.4106684625148773,1.3713923692703247,1977,0.5656684041023254,1.071754813194275,0.8928773403167725,0.006679332139543324,-0.008616234126887537,-1.3098869060968186,-2.2376253484125206,-1.837247300804152,-0.14518024285008926,-0.14495128007027658,False,False,False
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C4_to_C8,avgpool_pca_budget,11977,0.4342235028743744,0.4135257601737976,1.3956273794174194,1977,0.5691204071044922,1.0492653846740723,0.9013360738754272,0.006679332139543324,-0.008616234126887537,-1.3098869060968186,-2.2376253484125206,-1.837247300804152,-0.14518024285008926,-0.14495128007027658,False,False,False
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C4_to_C8,blurpool_pca_budget,11977,0.4328136146068573,0.4133932590484619,1.3915295600891113,1977,0.5676306486129761,1.0328526496887207,0.9004665613174438,0.006679332139543324,-0.008616234126887537,-1.3098869060968186,-2.2376253484125206,-1.837247300804152,-0.14518024285008926,-0.14495128007027658,False,False,False
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C8_to_C16,pre_pack,11308,0.46049949526786804,0.8608654737472534,1.1412804126739502,3421,0.6273776888847351,1.309612512588501,0.7386055588722229,-0.018495008052233537,-0.02963603340403263,1.6207775129448507,4.334470288485247,4.130059792882387,-0.2644923063304431,-0.2559678635658945,False,False,False
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C8_to_C16,native_post,11308,0.47144952416419983,0.678388237953186,1.2708375453948975,3421,0.6157743334770203,1.1150678396224976,0.8028497099876404,-0.018495008052233537,-0.02963603340403263,1.6207775129448507,4.334470288485247,4.130059792882387,-0.2644923063304431,-0.2559678635658945,False,False,False
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C8_to_C16,s2d_pca_budget,11308,0.4661988615989685,0.8609402179718018,1.154462218284607,3421,0.6345807909965515,1.3118056058883667,0.7468820214271545,-0.018495008052233537,-0.02963603340403263,1.6207775129448507,4.334470288485247,4.130059792882387,-0.2644923063304431,-0.2559678635658945,False,False,False
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C8_to_C16,avgpool_pca_budget,11308,0.5049362778663635,0.8608208298683167,1.2630112171173096,3421,0.6660687327384949,1.310957908630371,0.8053246736526489,-0.018495008052233537,-0.02963603340403263,1.6207775129448507,4.334470288485247,4.130059792882387,-0.2644923063304431,-0.2559678635658945,False,False,False
runs/e0_v2/tasktrained_mobilev4s05.json,task_checkpoint,current,C8_to_C16,blurpool_pca_budget,11308,0.5054598450660706,0.8536120057106018,1.2706961631774902,3421,0.6636968851089478,1.3028907775878906,0.8051637411117554,-0.018495008052233537,-0.02963603340403263,1.6207775129448507,4.334470288485247,4.130059792882387,-0.2644923063304431,-0.2559678635658945,False,False,False
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C4_to_C8,pre_pack,11977,0.40345755219459534,0.412458598613739,1.3017359972000122,1977,0.5458704829216003,0.977980375289917,0.8591004610061646,0.0048530347764246355,-0.00239378695101008,-0.49683878951513105,-5.336550793115086,-5.66137923275959,,,False,,
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C4_to_C8,native_post,11977,0.4069179892539978,0.34903380274772644,1.3316842317581177,1977,0.5485196113586426,0.8418373465538025,0.8825042247772217,0.0048530347764246355,-0.00239378695101008,-0.49683878951513105,-5.336550793115086,-5.66137923275959,,,False,,
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C4_to_C8,s2d_pca_budget,11977,0.4067862629890442,0.41682082414627075,1.3101838827133179,1977,0.5498358011245728,1.043308973312378,0.8603436946868896,0.0048530347764246355,-0.00239378695101008,-0.49683878951513105,-5.336550793115086,-5.66137923275959,,,False,,
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C4_to_C8,avgpool_pca_budget,11977,0.4264316260814667,0.4134502410888672,1.373119592666626,1977,0.562656819820404,0.9806734323501587,0.897082507610321,0.0048530347764246355,-0.00239378695101008,-0.49683878951513105,-5.336550793115086,-5.66137923275959,,,False,,
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C4_to_C8,blurpool_pca_budget,11977,0.43058061599731445,0.4140310287475586,1.384583592414856,1977,0.5635173320770264,0.9688031077384949,0.8995167016983032,0.0048530347764246355,-0.00239378695101008,-0.49683878951513105,-5.336550793115086,-5.66137923275959,,,False,,
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C8_to_C16,pre_pack,11308,0.43170875310897827,0.7442325353622437,1.0953590869903564,3421,0.5928535461425781,1.2139678001403809,0.7211360335350037,0.05329700137697618,0.03314266160378247,0.6339794195599068,-0.16044065910227026,-0.19625175669430217,,,False,,
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C8_to_C16,native_post,11308,0.47083577513694763,0.7233242988586426,1.2461142539978027,3421,0.6244508624076843,1.1436923742294312,0.8010234832763672,0.05329700137697618,0.03314266160378247,0.6339794195599068,-0.16044065910227026,-0.19625175669430217,,,False,,
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C8_to_C16,s2d_pca_budget,11308,0.4413992166519165,0.7732308506965637,1.1150097846984863,3421,0.6044188141822815,1.225049614906311,0.7349852919578552,0.05329700137697618,0.03314266160378247,0.6339794195599068,-0.16044065910227026,-0.19625175669430217,,,False,,
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C8_to_C16,avgpool_pca_budget,11308,0.4699006974697113,0.7408802509307861,1.2229375839233398,3421,0.6295203566551208,1.2165815830230713,0.7881742119789124,0.05329700137697618,0.03314266160378247,0.6339794195599068,-0.16044065910227026,-0.19625175669430217,,,False,,
runs/e0_v2/strong_pretrained_control.json,generic_timm_pretrained,mobilenetv4_conv_large.e500_r256_in1k,C8_to_C16,blurpool_pca_budget,11308,0.4714771807193756,0.7278149127960205,1.2342398166656494,3421,0.6306518912315369,1.210698127746582,0.7933923602104187,0.05329700137697618,0.03314266160378247,0.6339794195599068,-0.16044065910227026,-0.19625175669430217,,,False,,
