index,component,module,type,input_shape,output_shape,parameters,conv_macs,details
84,neck,neck.ref16.n1,GroupNorm,1x32x16x16,1x32x16x16,64,0,groups=8
85,neck,neck.ref16.act,SiLU,1x32x16x16,1x32x16x16,0,0,-
86,neck,neck.ref16.pw,Conv2d,1x32x16x16,1x32x16x16,1024,262144,"k=1x1, s=1, d=1, g=1"
87,neck,neck.ref16.n2,GroupNorm,1x32x16x16,1x32x16x16,64,0,groups=8
88,neck,neck.ref16.act,SiLU,1x32x16x16,1x32x16x16,0,0,-
89,neck,neck.ref8.dw,Conv2d,1x32x32x32,1x32x32x32,288,294912,"k=3x3, s=1, d=1, g=32"
90,neck,neck.ref8.n1,GroupNorm,1x32x32x32,1x32x32x32,64,0,groups=8
91,neck,neck.ref8.act,SiLU,1x32x32x32,1x32x32x32,0,0,-
92,neck,neck.ref8.pw,Conv2d,1x32x32x32,1x32x32x32,1024,1048576,"k=1x1, s=1, d=1, g=1"
93,neck,neck.ref8.n2,GroupNorm,1x32x32x32,1x32x32x32,64,0,groups=8
94,neck,neck.ref8.act,SiLU,1x32x32x32,1x32x32x32,0,0,-
95,neck,neck.ref4.dw,Conv2d,1x32x64x64,1x32x64x64,288,1179648,"k=3x3, s=1, d=1, g=32"
96,neck,neck.ref4.n1,GroupNorm,1x32x64x64,1x32x64x64,64,0,groups=8
97,neck,neck.ref4.act,SiLU,1x32x64x64,1x32x64x64,0,0,-
98,neck,neck.ref4.pw,Conv2d,1x32x64x64,1x32x64x64,1024,4194304,"k=1x1, s=1, d=1, g=1"
99,neck,neck.ref4.n2,GroupNorm,1x32x64x64,1x32x64x64,64,0,groups=8
100,neck,neck.ref4.act,SiLU,1x32x64x64,1x32x64x64,0,0,-
101,head,head_dw,Conv2d,1x32x64x64,1x32x64x64,288,1179648,"k=3x3, s=1, d=1, g=32"
102,head,head_norm,GroupNorm,1x32x64x64,1x32x64x64,64,0,groups=8
103,head,head_act,SiLU,1x32x64x64,1x32x64x64,0,0,-
104,head,head_out,Conv2d,1x32x64x64,1x1x64x64,33,131072,"k=1x1, s=1, d=1, g=1"
