epoch,loss,root_magnitude,root_to_64,64_to_32,32_to_16,16_to_8,16_to_8_dense,8_to_4,flat_16,multinomial_tree,deterministic_alloc,exact_regression,grad_root_magnitude,grad_deterministic_alloc,grad_total_pre_clip,grad_total_post_clip,grad_pre_clip_p50,grad_pre_clip_p95,grad_pre_clip_max,grad_backbone,grad_task,clip_fraction,amp_scale_start,amp_scale_end,amp_skipped_steps,amp_skip_fraction,overflow_gt_mean,overflow_gt_max,lr,lr_backbone,lr_task
1,200.5189666748047,20.767911911010742,64.15636444091797,46.03663635253906,69.55805206298828,0.0,0.0,0.0,0.0,0.0,179.7510528564453,0.0,30.797119140625,214.9875946044922,179.0826242234972,175.71281560262045,154.99911499023438,369.90142822265625,560.6565551757812,171.32898139953613,49.10792467329237,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,4.000000000000001e-06,4.0000000000000003e-07,4.000000000000001e-06
2,200.87574768066406,20.879070281982422,64.8997802734375,45.534053802490234,69.56283569335938,0.0,0.0,0.0,0.0,0.0,179.9966583251953,0.0,nan,nan,207.6379254659017,207.6379254659017,164.1494598388672,418.642578125,497.8578186035156,200.19030210706921,49.974688318040634,0.0,256.0,256.0,0,0.0,nan,nan,8.000000000000001e-06,8.000000000000001e-07,8.000000000000001e-06
3,196.37109375,21.404144287109375,61.13461685180664,44.36765670776367,69.46466064453125,0.0,0.0,0.0,0.0,0.0,174.9669647216797,0.0,nan,nan,182.46812989976672,177.25095664130316,148.0171356201172,336.66949462890625,593.9091186523438,173.54544681972928,52.01485591464572,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,1.2e-05,1.2000000000000002e-06,1.2e-05
4,194.6475372314453,21.618412017822266,61.86876678466797,42.709285736083984,68.45109558105469,0.0,0.0,0.0,0.0,0.0,173.02915954589844,0.0,nan,nan,208.10927454630533,208.10927454630533,182.19192504882812,407.9986572265625,442.0666809082031,201.84821234809027,46.29835086398654,0.0,256.0,256.0,0,0.0,nan,nan,1.6000000000000003e-05,1.6000000000000001e-06,1.6000000000000003e-05
5,205.88612365722656,22.437244415283203,67.49076080322266,46.60150146484375,69.35660552978516,0.0,0.0,0.0,0.0,0.0,183.44886779785156,0.0,nan,nan,231.78752432929144,217.03570344713,191.48452758789062,450.7629089355469,765.5327758789062,224.0568936665853,53.205418798658584,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,2e-05,2.0000000000000003e-06,2e-05
6,188.16860961914062,19.569812774658203,59.32891082763672,43.10783004760742,66.16206359863281,0.0,0.0,0.0,0.0,0.0,168.5988006591797,0.0,nan,nan,134.95042419433594,134.95042419433594,121.68545532226562,223.48178100585938,246.58509826660156,126.26966010199652,45.69304455651177,0.0,256.0,256.0,0,0.0,nan,nan,2.4e-05,2.4000000000000003e-06,2.4e-05
7,195.90623474121094,21.18937110900879,62.47438049316406,44.37778091430664,67.8647232055664,0.0,0.0,0.0,0.0,0.0,174.7168731689453,0.0,nan,nan,207.25191752115884,207.25191752115884,195.98736572265625,383.8265075683594,401.24530029296875,199.68720245361328,52.09555466969808,0.0,256.0,256.0,0,0.0,nan,nan,2.8000000000000003e-05,2.8000000000000003e-06,2.8000000000000003e-05
8,199.5452117919922,20.366390228271484,64.23267364501953,47.36894607543945,67.57720947265625,0.0,0.0,0.0,0.0,0.0,179.1788330078125,0.0,nan,nan,232.8928576575385,222.33334159851074,177.41079711914062,546.0150146484375,665.0650634765625,224.40970272488065,55.06198215484619,0.1111111111111111,256.0,256.0,0,0.0,nan,nan,3.2000000000000005e-05,3.2000000000000003e-06,3.2000000000000005e-05
9,206.3240509033203,23.281461715698242,67.9725570678711,45.75035095214844,69.3196792602539,0.0,0.0,0.0,0.0,0.0,183.0426025390625,0.0,nan,nan,248.8268542819553,247.65613894992404,211.7230987548828,496.08416748046875,521.0728759765625,236.85580974155002,66.43289449479845,0.05555555555555555,256.0,256.0,0,0.0,nan,nan,3.6e-05,3.6000000000000003e-06,3.6e-05
10,185.66592407226562,19.65768051147461,57.406494140625,41.444610595703125,67.15714263916016,0.0,0.0,0.0,0.0,0.0,166.00827026367188,0.0,nan,nan,187.6261240641276,187.6261240641276,172.3871612548828,282.5392150878906,360.8167724609375,178.5591231452094,53.90535322825114,0.0,256.0,256.0,0,0.0,nan,nan,4e-05,4.000000000000001e-06,4e-05
