epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,23.813840737213958,18.38823011759165,3.766199962512867,3.766199962512867,3.766199962512867,0.0,0.0,0.24549138948724075,5.764220779006545,0.17327777678902084,3.9321013656822412,2.1779701451997497,49.96177663029851,49.9067497253418,50.00431823730469,50.00431823730469,0.9999999759010119,0.0022085419464532613,0.9677517414093018,1.0107231140136719,0.9999999759010119,0.0022085419464532613,0.0,0.0,5.369182599557413,5.369182599557413,0.0,1.0,0.9999999838906366,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,24.755523552765716,19.25044825270369,3.734913935532441,3.734913935532441,3.734913935532441,0.0,0.0,0.24727682447111285,6.16804035934242,0.17324946136087985,4.227595944662352,2.185530765636547,49.72355878675306,49.61518478393555,49.71218490600586,49.9067497253418,0.9999999699395691,0.0026674186674732394,0.9586887359619141,1.0114208459854126,0.9999999699395691,0.0026674186674732394,0.0,0.0,5.3649943712595345,5.3649943712595345,0.0,0.9999999983890636,0.9999999983890636,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,24.465116346204603,18.990038742890228,3.75025909655803,3.75025909655803,3.75025909655803,0.0,0.0,0.24651761755749985,6.023000904031702,0.1732037510420825,4.066277442751704,2.205388140034031,49.31003539626663,49.037147521972656,49.3253173828125,49.518367767333984,0.9999999618488532,0.003982892061074039,0.9343373775482178,1.0132875442504883,0.9999999618488532,0.003982892061074039,0.0,0.0,5.345346115730904,5.345346115730904,0.0,0.9999999983890636,0.9999999871125093,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,24.634958911586452,19.15910122845624,3.725137568808891,3.725137568808891,3.725137568808891,0.0,0.0,0.24595300974072637,6.118925803416484,0.17315122001879923,4.1350110737053125,2.234099020829072,48.48200339239997,47.90120315551758,48.56059646606445,49.037147521972656,0.9999999586992119,0.006706756264082586,0.9215947985649109,1.0234922170639038,0.9999999586992119,0.006706756264082586,0.0,0.0,5.321671060613684,5.321671060613684,0.0,0.999999995167191,0.999999995167191,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,24.93227077174831,19.455536636146338,3.736030662381971,3.736030662381971,3.736030662381971,0.0,0.0,0.2464364827484698,6.108547178474632,0.17314455154779795,4.054415245313902,2.2956479948920174,46.55385651459565,45.17513656616211,46.70027160644531,47.807735443115234,0.9999999569725098,0.013628848709853845,0.8368057012557983,1.0513546466827393,0.9999999569725098,0.013628848709853845,0.0,0.0,5.316367935489964,5.316367935489964,0.0,0.999999995167191,0.9999999903343819,0.9999999935562546,254.82837661282048,391.73486463136663,0.6020450542123579,-173.17424590771014,254.82837621528645,319.3612186854585,377.1527792538923,409.50237054516276,155.28656850542342,129.80906632889148,620.5736740775731,0.03250098455160285,0.334382284008567,-0.2697288462513585,-0.2697288462513585,0.3761173515275643,0.17255816338143293,0.027999202097565987,1.357611192440493,0.7282824148578947,0.7615956765189291,0.8326408249243027,0.2282824148578947,-0.03840432348107092,-0.11735917507569726,0.0,0.0,0.4725274725274725,0.5274725274725275,1.0,2.339069421147252,2.1181886546559388,2.118266070937062
6,1e-05,0.0001,0.05,24.246350700790817,18.853865855448955,3.70925125560245,3.70925125560245,3.70925125560245,0.0,0.0,0.2469565292467942,5.9123128491479,0.1731980036239366,3.870728934133375,2.4322031059780636,42.578205521042285,39.3255729675293,42.85457992553711,45.35194778442383,0.9999999519021365,0.029886943328928123,0.6439710855484009,1.1257728338241577,0.9999999519021365,0.029886943328928123,0.0,0.0,5.212366903150404,3.4608050874761633,0.3360396242665841,0.9999999855015729,0.9999999887234455,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,24.86821187509073,19.473403002764726,3.7354882343395337,3.7354882343395337,3.7354882343395337,0.0,0.0,0.24872912949806936,5.867222708624762,0.17309630803159765,3.7176493019671053,2.6774378660562874,35.67540777051771,29.975807189941406,36.08717346191406,40.81233596801758,0.999999958618665,0.06368256776315583,0.36130279302597046,1.2282280921936035,0.999999958618665,0.06368256776315583,0.0,0.0,4.839288904860213,2.1075135147249378,0.5644993394363557,0.9999999935562546,0.9999999806687638,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,25.48249657089646,20.22343078819481,3.713462359196431,3.713462359196431,3.713462359196431,0.0,0.0,0.2483490628970636,5.5366144566922575,0.1722917629254831,3.245057763280095,3.144704258119738,26.57649292816987,17.96942710876465,26.922672271728516,34.70469665527344,1.0001132445020409,0.15008458488096454,0.25,1.4476109743118286,1.0001132445020409,0.15008458488096454,0.001553780501148922,0.0,3.8648142943511137,1.2307123686816241,0.6815597658908329,1.000144054760804,1.0000065146265804,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,22.27397431554021,17.26342126485464,3.7187982121029415,3.7187982121029415,3.7187982121029415,0.0,0.0,0.24667166415098551,4.608710624076225,0.17022722395690712,2.5727675379933537,3.3726862830084725,21.04139740402634,11.070643424987793,21.380943298339844,30.21091079711914,1.0018793465143443,0.22787975929213827,0.25,1.579131841659546,1.0018793465143443,0.22787975929213827,0.01747182405077142,0.0,3.933066007253286,1.0470568102759283,0.733781022656379,1.0022209173924215,1.000829960848834,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,21.22903300620414,16.30434801771834,3.733644930092064,3.733644930092064,3.733644930092064,0.0,0.0,0.24432184688142827,4.199076459214494,0.16631278234559135,2.402503419566799,3.200125146556545,20.020899592219173,7.253218650817871,20.844900131225586,30.21091079711914,1.0057759206014436,0.2677313031828987,0.25,1.6019811630249023,1.0057759206014436,0.2677313031828987,0.04284932705985338,0.0,5.013891464955098,0.9634084604881905,0.8078521509246872,1.0064720430889644,1.004049082060118,1.0000537827208236,254.0430067712134,390.17814151355316,0.6054643447732027,-169.16023401113657,254.04300712069988,319.41208259665314,377.8018698125726,410.48309066517237,157.89910125732422,130.25108136317527,615.8292179936948,0.03378637168690903,0.3386986502240612,-0.2636274086844941,-0.2636274086844941,0.37998862025241636,0.12956970715880037,-0.004582137753108741,1.3584929345792192,0.7284109878477096,0.7619899670210281,0.8328143984605527,0.22841098784770963,-0.038010032978971986,-0.11718560153944724,0.0,0.0,0.47802197802197804,0.521978021978022,1.0,2.3556532735352986,2.120352951052425,2.1202691256344974
